endpoint,task,split,n_compounds,n_scaffolds,n_folds,median_train_per_fold,median_test_per_fold,positive_rate,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,f1_mean,f1_sd,balanced_acc_mean,balanced_acc_sd,roc_auc_min,roc_auc_max,roc_auc_pooled,r2_mean,r2_sd,rmse_mean,rmse_sd,mae_mean,mae_sd,spearman_mean,spearman_sd,r2_min,r2_max,r2_pooled
BBB,classification,random,7805,2439,10,7024,780,0.635,0.9605,0.0075,0.977,0.0045,0.7572,0.0292,0.9136,0.0102,0.8733,0.0152,0.9492,0.9737,0.9604,,,,,,,,,,,
BBB,classification,scaffold,7805,2439,10,7024,780,0.635,0.9197,0.0367,0.9508,0.0231,0.6583,0.0943,0.8821,0.0354,0.8204,0.0512,0.8444,0.9548,0.9262,,,,,,,,,,,
AChE,classification,random,4387,2116,10,3948,439,0.724,0.9626,0.0083,0.9838,0.0054,0.7814,0.0389,0.9409,0.0106,0.8844,0.0184,0.946,0.9731,0.9624,,,,,,,,,,,
AChE,classification,scaffold,4387,2116,10,3948,439,0.724,0.9212,0.0206,0.9671,0.0092,0.6562,0.0931,0.9059,0.0288,0.8182,0.0483,0.8946,0.9585,0.9191,,,,,,,,,,,
BChE,classification,random,2621,1345,10,2359,262,0.7043,0.9684,0.0118,0.9868,0.0053,0.7814,0.0449,0.9326,0.0145,0.8977,0.0222,0.9496,0.9884,0.9683,,,,,,,,,,,
BChE,classification,scaffold,2621,1345,10,2359,262,0.7043,0.9372,0.0212,0.9735,0.01,0.6909,0.0697,0.9039,0.0234,0.853,0.0358,0.8921,0.9634,0.9395,,,,,,,,,,,
BACE1,classification,random,8501,3088,10,7651,850,0.9104,0.9667,0.0099,0.996,0.0013,0.7365,0.0501,0.9771,0.0038,0.8581,0.033,0.9534,0.9845,0.9664,,,,,,,,,,,
BACE1,classification,scaffold,8501,3088,10,7651,850,0.9104,0.9556,0.0209,0.9947,0.0028,0.6718,0.0836,0.9729,0.0084,0.8094,0.0469,0.9072,0.984,0.9561,,,,,,,,,,,
GSK3B,classification,random,4958,2118,10,4462,496,0.9312,0.9693,0.0128,0.9976,0.001,0.6563,0.0771,0.9786,0.005,0.7884,0.0427,0.9389,0.9887,0.9694,,,,,,,,,,,
GSK3B,classification,scaffold,4958,2118,10,4462,496,0.9312,0.9369,0.0302,0.9949,0.0028,0.5593,0.1144,0.9759,0.0056,0.7256,0.0669,0.8902,0.9787,0.941,,,,,,,,,,,
MAO_A,classification,random,2228,827,10,2005,223,0.4071,0.9467,0.0169,0.9323,0.0227,0.7415,0.0656,0.8419,0.0393,0.8659,0.0327,0.9214,0.9776,0.9467,,,,,,,,,,,
MAO_A,classification,scaffold,2228,827,10,2005,223,0.4071,0.8678,0.0464,0.8363,0.0549,0.5638,0.0942,0.7225,0.0734,0.7732,0.0475,0.7938,0.9497,0.8707,,,,,,,,,,,
MAO_B,classification,random,3665,1196,10,3298,366,0.675,0.9545,0.0075,0.9779,0.0037,0.7403,0.0407,0.9181,0.0117,0.8636,0.0238,0.9441,0.9676,0.9544,,,,,,,,,,,
MAO_B,classification,scaffold,3665,1196,10,3298,366,0.675,0.8895,0.033,0.9344,0.0328,0.6262,0.048,0.88,0.0322,0.8045,0.0276,0.8494,0.9397,0.8902,,,,,,,,,,,
hERG,classification,random,5875,3377,10,5287,587,0.4133,0.9541,0.0066,0.9417,0.0084,0.771,0.0266,0.8604,0.0171,0.88,0.014,0.9391,0.9601,0.9539,,,,,,,,,,,
hERG,classification,scaffold,5875,3377,10,5287,587,0.4133,0.9208,0.0351,0.8997,0.0498,0.6755,0.0911,0.7945,0.0658,0.8286,0.0478,0.8565,0.9502,0.9233,,,,,,,,,,,
D2,regression,random,7734,3329,10,6961,773,,,,,,,,,,,,,,,0.6012,0.0177,0.595,0.0146,0.4253,0.0118,0.7772,0.0111,0.5633,0.6271,0.6019
D2,regression,scaffold,7734,3329,10,6961,773,,,,,,,,,,,,,,,0.4829,0.0515,0.6728,0.0446,0.4849,0.0297,0.6919,0.0271,0.3969,0.5787,0.4891
A2A,regression,random,6785,2654,10,6106,678,,,,,,,,,,,,,,,0.6824,0.0228,0.6121,0.0263,0.443,0.0207,0.8231,0.0194,0.6431,0.7123,0.6828
A2A,regression,scaffold,6785,2654,10,6106,678,,,,,,,,,,,,,,,0.5762,0.0662,0.699,0.037,0.5191,0.034,0.7515,0.0469,0.4836,0.6656,0.5859
HT2A,regression,random,5989,2254,10,5390,599,,,,,,,,,,,,,,,0.6362,0.0276,0.6089,0.0258,0.4437,0.0213,0.8096,0.0168,0.5824,0.6706,0.637
HT2A,regression,scaffold,5989,2254,10,5390,599,,,,,,,,,,,,,,,0.4902,0.0537,0.7187,0.0584,0.5286,0.0397,0.7116,0.0396,0.4223,0.574,0.492
SERT,regression,random,4572,1459,10,4115,457,,,,,,,,,,,,,,,0.6016,0.0379,0.648,0.034,0.4822,0.0233,0.7703,0.0284,0.5505,0.6653,0.6033
SERT,regression,scaffold,4572,1459,10,4115,457,,,,,,,,,,,,,,,0.3885,0.1239,0.793,0.114,0.6038,0.0801,0.6246,0.0814,0.1352,0.5329,0.3962
antioxidant_DPPH,regression,random,2862,919,10,2576,286,,,,,,,,,,,,,,,0.6689,0.0648,0.4523,0.0551,0.3037,0.0327,0.8071,0.0378,0.5186,0.7353,0.6688
antioxidant_DPPH,regression,scaffold,2862,919,10,2576,286,,,,,,,,,,,,,,,0.4337,0.0995,0.5867,0.0652,0.4177,0.0477,0.6502,0.1014,0.2305,0.5682,0.4439
