endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
BBB,classification,random,1,781,7024,507,496.0,0.9693371533672892,0.9820759474997921,0.8021183236270608,0.9300492610837439,0.893350311262026,,,,
BBB,classification,random,2,781,7024,513,496.0,0.9632852292020373,0.9766518492623557,0.771863952992108,0.9183266932270916,0.8822616015846068,,,,
BBB,classification,random,3,781,7024,497,496.0,0.9536219581211093,0.9747283803924272,0.7167147682348588,0.898,0.85612973967176,,,,
BBB,classification,random,4,781,7024,492,496.0,0.9492218449349181,0.9704344814751605,0.7232538377039412,0.9024630541871921,0.8546760045274476,,,,
BBB,classification,random,5,781,7024,490,496.0,0.9590761177136389,0.9775924335453039,0.7462312384423738,0.9098116947472745,0.8679647707979626,,,,
BBB,classification,random,6,780,7025,491,495.0,0.9610632642211591,0.9770106173272586,0.7630368191092397,0.9154228855721394,0.8769271664008507,,,,
BBB,classification,random,7,780,7025,522,495.0,0.9599645578592946,0.972235981051292,0.7578605886551458,0.913086913086913,0.8756512493354598,,,,
BBB,classification,random,8,780,7025,513,495.0,0.9526918305865674,0.974387820493433,0.7311836396992758,0.9058823529411765,0.856140350877193,,,,
BBB,classification,random,9,780,7025,525,495.0,0.962729044834308,0.9792201594971857,0.7596057247876448,0.9153543307086615,0.871451355661882,,,,
BBB,classification,random,10,780,7025,497,496.0,0.9737406292594275,0.9855013086753557,0.7998660581822256,0.9278557114228457,0.898071899136756,,,,
BBB,classification,scaffold,1,781,7024,220,643.0,0.9249216760204657,0.979713388269741,0.6355088312201475,0.9415337889141989,0.786462911623504,,,,
BBB,classification,scaffold,2,781,7024,226,494.0,0.8444328457165428,0.9032078867307839,0.4836989656790346,0.8221574344023324,0.7330157006023501,,,,
BBB,classification,scaffold,3,781,7024,248,563.0,0.9181726335000896,0.9653199746563872,0.64365212573533,0.9005328596802842,0.821826062867665,,,,
BBB,classification,scaffold,4,781,7024,249,477.0,0.9363069623744897,0.9582907951131757,0.6848424307886621,0.8747346072186837,0.8446947754606642,,,,
BBB,classification,scaffold,5,781,7024,250,445.0,0.950561797752809,0.9581112514995642,0.7695122305921709,0.9026548672566371,0.8825341091492777,,,,
BBB,classification,scaffold,6,780,7025,249,487.0,0.8641049540615735,0.9191483839715406,0.5085900590749215,0.8312439729990356,0.7394334611152771,,,,
BBB,classification,scaffold,7,780,7025,249,494.0,0.9431676622972169,0.9622949230298342,0.7268556831927707,0.9057692307692308,0.8456017666543982,,,,
BBB,classification,scaffold,8,780,7025,249,491.0,0.9245731118612535,0.9512317466899405,0.6905598361250607,0.892128279883382,0.8307352412631519,,,,
BBB,classification,scaffold,9,780,7025,249,428.0,0.936076226635514,0.9455674404228089,0.7211397272164685,0.8726415094339622,0.8612202633814783,,,,
BBB,classification,scaffold,10,780,7025,250,434.0,0.9548493646946005,0.9651804272770454,0.7188686125039385,0.8772727272727273,0.8579952585173544,,,,
AChE,classification,random,1,439,3948,357,318.0,0.9459691252144082,0.9723925075754951,0.7540867736848371,0.9324960753532182,0.8760720411663808,,,,
AChE,classification,random,2,439,3948,340,318.0,0.9532200218306566,0.9759982616318725,0.8373009557400268,0.9567901234567902,0.9047767555486252,,,,
AChE,classification,random,3,439,3948,356,318.0,0.9569364312074432,0.9826684688859737,0.7055900102843813,0.9204368174726989,0.8481339986485784,,,,
AChE,classification,random,4,439,3948,357,318.0,0.9677737928166745,0.9866306038967383,0.7936312474930152,0.9435736677115988,0.8947580435573574,,,,
AChE,classification,random,5,439,3948,352,318.0,0.9641483445085504,0.9852754652909096,0.8201215784227495,0.951937984496124,0.9000597744165497,,,,
AChE,classification,random,6,439,3948,349,318.0,0.9705546026300743,0.987891262463645,0.7901002983313755,0.9444444444444444,0.8819585217526899,,,,
AChE,classification,random,7,439,3948,355,317.0,0.9731344055437763,0.9888416125695154,0.7938040184620627,0.9435736677115988,0.8927961938253091,,,,
AChE,classification,random,8,438,3949,366,317.0,0.9640482832338296,0.9857315198577127,0.795553639026943,0.9430379746835443,0.8997836118570275,,,,
AChE,classification,random,9,438,3949,359,317.0,0.9638397163490366,0.9861328575872143,0.7380461967602868,0.9300155520995335,0.8600385848736867,,,,
AChE,classification,random,10,438,3949,350,317.0,0.9662382355241547,0.9861211692355736,0.785551572829406,0.9422776911076443,0.8854316030972182,,,,
AChE,classification,scaffold,1,439,3948,209,316.0,0.9052433878769167,0.9617513406094472,0.6222647436358313,0.8692699490662139,0.8359576000823299,,,,
AChE,classification,scaffold,2,439,3948,210,330.0,0.9486099527383931,0.9796577116098799,0.7725487408821803,0.9473684210526315,0.8532944120100083,,,,
AChE,classification,scaffold,3,439,3948,212,315.0,0.9175627240143369,0.9646920871334121,0.6059604638761008,0.8838709677419355,0.8099206349206349,,,,
AChE,classification,scaffold,4,439,3948,212,319.0,0.9121473354231975,0.9626383296110119,0.6330198537095089,0.8996865203761756,0.8165099268547544,,,,
AChE,classification,scaffold,5,439,3948,212,303.0,0.9185352358765287,0.9630805911980218,0.6427828019834317,0.8963317384370016,0.8056081343428461,,,,
AChE,classification,scaffold,6,439,3948,212,320.0,0.9212710084033613,0.9648443052774089,0.6539767175249435,0.9115853658536586,0.8117253151260504,,,,
AChE,classification,scaffold,7,439,3948,212,313.0,0.9584664536741214,0.9828884576570176,0.7666891812270781,0.9358372456964006,0.8704929256047467,,,,
AChE,classification,scaffold,8,438,3949,212,339.0,0.9351777360626918,0.9762933731226109,0.7581113953080968,0.9476744186046512,0.8646643425404488,,,,
AChE,classification,scaffold,9,438,3949,212,320.0,0.8946239406779661,0.9600650359781089,0.46311846716340593,0.8751835535976505,0.6986758474576271,,,,
AChE,classification,scaffold,10,438,3949,213,301.0,0.9005504765138104,0.9548043982514379,0.6433233087912352,0.8921568627450981,0.8148022407061619,,,,
BChE,classification,random,1,263,2358,228,185.0,0.9711711711711711,0.9882914222921906,0.7929975015042897,0.9373297002724795,0.9007623007623008,,,,
BChE,classification,random,2,262,2359,220,185.0,0.9663039663039663,0.9876905253523158,0.8056949144720411,0.9392265193370166,0.914004914004914,,,,
BChE,classification,random,3,262,2359,206,185.0,0.9884169884169884,0.9952319780209214,0.8259665468822346,0.948509485094851,0.9145314145314145,,,,
BChE,classification,random,4,262,2359,218,185.0,0.9737451737451737,0.9893177315290484,0.8033526961606129,0.9395604395604396,0.9102141102141101,,,,
BChE,classification,random,5,262,2359,221,185.0,0.9759915759915762,0.9901468070884152,0.7932296837389223,0.936986301369863,0.9037206037206037,,,,
BChE,classification,random,6,262,2359,228,185.0,0.9505089505089506,0.977840165345998,0.7475183986203412,0.9192200557103064,0.8875043875043875,,,,
BChE,classification,random,7,262,2359,215,184.0,0.9626532887402452,0.9835031734044593,0.7714338514390063,0.9277777777777778,0.8961120401337792,,,,
BChE,classification,random,8,262,2359,211,184.0,0.9748467112597548,0.9893047486475415,0.8069862998254653,0.9388888888888889,0.9143673355629878,,,,
BChE,classification,random,9,262,2359,228,184.0,0.949623745819398,0.9789558821962976,0.6690718978965161,0.8980716253443526,0.8403706800445931,,,,
