endpoint,task,n_compounds,n_scaffolds,scaffold_diversity,random_mean,random_sd,scaffold_mean,scaffold_sd,sd_ratio,generalisation_gap,scaffold_fold_range
hERG,classification,5875,3377,0.575,0.9541,0.0066,0.9208,0.0351,5.32,0.0333,0.0937
BBB,classification,7805,2439,0.312,0.9605,0.0075,0.9197,0.0367,4.89,0.0408,0.1104
MAO_B,classification,3665,1196,0.326,0.9545,0.0075,0.8895,0.033,4.4,0.065,0.0903
SERT,regression,4572,1459,0.319,0.6016,0.0379,0.3885,0.1239,3.27,0.2131,0.3977
D2,regression,7734,3329,0.43,0.6012,0.0177,0.4829,0.0515,2.91,0.1183,0.1818
A2A,regression,6785,2654,0.391,0.6824,0.0228,0.5762,0.0662,2.9,0.1062,0.182
MAO_A,classification,2228,827,0.371,0.9467,0.0169,0.8678,0.0464,2.75,0.0789,0.1559
AChE,classification,4387,2116,0.482,0.9626,0.0083,0.9212,0.0206,2.48,0.0414,0.0639
GSK3B,classification,4958,2118,0.427,0.9693,0.0128,0.9369,0.0302,2.36,0.0324,0.0885
BACE1,classification,8501,3088,0.363,0.9667,0.0099,0.9556,0.0209,2.11,0.0111,0.0768
HT2A,regression,5989,2254,0.376,0.6362,0.0276,0.4902,0.0537,1.95,0.146,0.1517
BChE,classification,2621,1345,0.513,0.9684,0.0118,0.9372,0.0212,1.8,0.0312,0.0713
antioxidant_DPPH,regression,2862,919,0.321,0.6689,0.0648,0.4337,0.0995,1.54,0.2352,0.3377
