endpoint,task,split,k_folds,mean,sd_observed,sd_sampling,sd_heterogeneity,pct_variance_heterogeneity
BBB,classification,random,10,0.9605,0.0075,0.0062,0.0042,31.8
BBB,classification,scaffold,10,0.9197,0.0367,0.0102,0.0352,92.3
AChE,classification,random,10,0.9626,0.0083,0.0094,0.0,0.0
AChE,classification,scaffold,10,0.9212,0.0206,0.0137,0.0154,55.7
BChE,classification,random,10,0.9684,0.0118,0.0096,0.0069,34.1
BChE,classification,scaffold,10,0.9372,0.0212,0.0145,0.0154,52.8
BACE1,classification,random,10,0.9667,0.0099,0.0106,0.0,0.0
BACE1,classification,scaffold,10,0.9556,0.0209,0.0118,0.0172,67.9
GSK3B,classification,random,10,0.9693,0.0128,0.0112,0.0061,23.0
GSK3B,classification,scaffold,10,0.9369,0.0302,0.0204,0.0223,54.5
MAO_A,classification,random,10,0.9467,0.0169,0.0147,0.0083,24.4
MAO_A,classification,scaffold,10,0.8678,0.0464,0.0251,0.039,70.7
MAO_B,classification,random,10,0.9545,0.0075,0.0103,0.0,0.0
MAO_B,classification,scaffold,10,0.8895,0.033,0.0185,0.0274,68.6
hERG,classification,random,10,0.9541,0.0066,0.0082,0.0,0.0
hERG,classification,scaffold,10,0.9208,0.0351,0.0109,0.0334,90.4
D2,regression,random,10,0.6012,0.0177,0.0255,0.0,0.0
D2,regression,scaffold,10,0.4829,0.0515,0.0299,0.042,66.3
A2A,regression,random,10,0.6824,0.0228,0.0251,0.0,0.0
A2A,regression,scaffold,10,0.5762,0.0662,0.0289,0.0595,80.9
HT2A,regression,random,10,0.6362,0.0276,0.0264,0.0079,8.2
HT2A,regression,scaffold,10,0.4902,0.0537,0.0311,0.0438,66.6
SERT,regression,random,10,0.6016,0.0379,0.0329,0.0188,24.6
SERT,regression,scaffold,10,0.3885,0.1239,0.0404,0.1171,89.3
antioxidant_DPPH,regression,random,10,0.6689,0.0648,0.0457,0.0459,50.2
antioxidant_DPPH,regression,scaffold,10,0.4337,0.0995,0.0592,0.08,64.6
