endpoint,task,cutoff_year,n_train,n_test,metric,score
AChE,classification,2020,4141,1028,auroc,0.761
BChE,classification,2021,2696,617,auroc,0.801
BACE1,classification,2017,6901,1673,auroc,0.91
GSK3B,classification,2021,4205,546,auroc,0.764
MAO_A,classification,2020,2859,819,auroc,0.727
MAO_B,classification,2020,3719,923,auroc,0.843
hERG,classification,2020,8158,2059,auroc,0.72
D2,regression,2019,6796,1556,r2,0.08
A2A,regression,2020,4600,1516,r2,0.229
HT2A,regression,2020,4741,986,r2,0.155
SERT,regression,2015,3647,1147,r2,0.111
antioxidant_DPPH,regression,2016,2340,522,r2,0.007
