split,subset,alternative,n_endpoints,forest_higher_on,median_delta,mean_delta,min_delta,max_delta,wilcoxon_p,distinguishable_at_0.05
scaffold,all 13 endpoints (AUROC and R-squared pooled by rank),HistGradientBoosting,13,8,0.0031,-0.0051,-0.0555,0.0192,0.89258,False
scaffold,all 13 endpoints (AUROC and R-squared pooled by rank),LogisticRegression,13,13,0.103,0.1988,0.0512,1.1848,0.00024,True
scaffold,all 13 endpoints (AUROC and R-squared pooled by rank),XGBoost,13,8,0.0033,-0.0051,-0.0446,0.0109,0.73535,False
scaffold,all 13 endpoints (AUROC and R-squared pooled by rank),kNN read-across,13,13,0.0382,0.0407,0.0095,0.1099,0.00024,True
scaffold,8 classification endpoints (AUROC only),HistGradientBoosting,8,7,0.0045,0.0063,-0.0093,0.0192,0.07812,False
scaffold,8 classification endpoints (AUROC only),LogisticRegression,8,8,0.0818,0.086,0.0512,0.1321,0.00781,True
scaffold,8 classification endpoints (AUROC only),XGBoost,8,8,0.0048,0.0056,0.0019,0.0109,0.00781,True
scaffold,8 classification endpoints (AUROC only),kNN read-across,8,8,0.0381,0.0384,0.0191,0.0492,0.00781,True
scaffold,5 regression endpoints (R-squared only),HistGradientBoosting,5,1,-0.0208,-0.0234,-0.0555,0.0127,0.1875,False
scaffold,5 regression endpoints (R-squared only),LogisticRegression,5,5,0.2093,0.3794,0.136,1.1848,0.0625,False
scaffold,5 regression endpoints (R-squared only),XGBoost,5,0,-0.0188,-0.0223,-0.0446,-0.0039,0.0625,False
scaffold,5 regression endpoints (R-squared only),kNN read-across,5,5,0.0384,0.0445,0.0095,0.1099,0.0625,False
random,all 13 endpoints (AUROC and R-squared pooled by rank),HistGradientBoosting,13,5,-0.0013,-0.008,-0.0405,0.009,0.33081,False
random,all 13 endpoints (AUROC and R-squared pooled by rank),LogisticRegression,13,13,0.0837,0.1242,0.0435,0.4958,0.00024,True
random,all 13 endpoints (AUROC and R-squared pooled by rank),XGBoost,13,8,0.0022,-0.004,-0.0361,0.0086,0.89258,False
random,all 13 endpoints (AUROC and R-squared pooled by rank),kNN read-across,13,13,0.0286,0.0279,0.0092,0.0517,0.00024,True
random,8 classification endpoints (AUROC only),HistGradientBoosting,8,5,0.0017,0.0023,-0.0022,0.009,0.1875,False
random,8 classification endpoints (AUROC only),LogisticRegression,8,8,0.061,0.065,0.0435,0.1072,0.00781,True
random,8 classification endpoints (AUROC only),XGBoost,8,8,0.0047,0.0046,0.0019,0.0086,0.00781,True
random,8 classification endpoints (AUROC only),kNN read-across,8,8,0.0249,0.0273,0.0176,0.0437,0.00781,True
random,5 regression endpoints (R-squared only),HistGradientBoosting,5,0,-0.0317,-0.0243,-0.0405,-0.0067,0.0625,False
random,5 regression endpoints (R-squared only),LogisticRegression,5,5,0.1547,0.2189,0.124,0.4958,0.0625,False
random,5 regression endpoints (R-squared only),XGBoost,5,0,-0.0183,-0.0177,-0.0361,-0.0024,0.0625,False
random,5 regression endpoints (R-squared only),kNN read-across,5,5,0.0307,0.0288,0.0092,0.0517,0.0625,False
