endpoint,label,already_in_table,smiles,pchembl,relation,standard_type,molecule_chembl_id,year,fsp3,aromatic_rings,rings,stereocentres,mw,fills_the_gap
AChE,1,True,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,6.125,=,IC50,CHEMBL133897,2004.0,0.176,3,3,0,312.1,False
AChE,1,True,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,7.0,=,IC50,CHEMBL336398,2004.0,0.5,2,4,0,376.1,False
AChE,0,True,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,4.301,>,IC50,CHEMBL131588,2004.0,0.167,3,3,0,426.1,False
AChE,1,True,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,6.523,=,IC50,CHEMBL130628,2004.0,0.438,2,3,0,404.1,False
AChE,1,True,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,6.097,=,IC50,CHEMBL130478,2004.0,0.308,2,2,0,346.1,False
AChE,1,True,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,7.0,=,IC50,CHEMBL130098,2004.0,0.25,2,2,0,296.0,False
AChE,0,True,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,4.301,>,IC50,CHEMBL337486,2004.0,0.526,2,3,0,408.1,False
AChE,1,True,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,6.097,=,IC50,CHEMBL336538,2004.0,0.308,2,2,0,292.1,False
AChE,0,True,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,4.301,>,IC50,CHEMBL131051,2004.0,0.167,3,3,0,408.1,False
AChE,0,True,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,4.301,>,IC50,CHEMBL341437,2004.0,0.438,2,3,0,348.1,False
AChE,1,True,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,7.301,=,IC50,CHEMBL335033,2004.0,0.188,3,3,0,312.1,False
AChE,0,True,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,4.0,>,IC50,CHEMBL122983,1998.0,0.348,2,3,2,394.2,False
AChE,1,True,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,6.252,=,IC50,CHEMBL338720,2004.0,0.167,3,3,0,338.1,False
AChE,1,False,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,8.0,<,IC50,CHEMBL339995,2004.0,0.214,2,2,0,288.1,False
AChE,1,False,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,8.0,<,IC50,CHEMBL335158,2004.0,0.55,2,3,0,406.2,False
AChE,0,True,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,4.77,=,IC50,CHEMBL106126,2004.0,0.714,1,2,1,266.2,True
AChE,0,True,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,4.301,>,IC50,CHEMBL336625,2004.0,0.348,3,3,0,408.2,False
AChE,1,True,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,7.585,=,IC50,CHEMBL130666,2004.0,0.4,2,3,0,336.1,False
AChE,0,True,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,4.301,>,IC50,CHEMBL134061,2004.0,0.4,2,3,0,406.0,False
AChE,1,True,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.097,=,IC50,CHEMBL133388,2004.0,0.308,2,2,0,276.1,False
AChE,0,True,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,4.301,>,IC50,CHEMBL130645,2004.0,0.357,2,3,0,338.1,False
AChE,0,True,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,4.301,>,IC50,CHEMBL133580,2004.0,0.318,3,3,0,428.1,False
AChE,1,True,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,7.252,=,IC50,CHEMBL336524,2004.0,0.308,2,2,0,310.1,False
AChE,1,True,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,6.699,=,IC50,CHEMBL336276,2004.0,0.5,2,2,0,346.2,False
AChE,1,True,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,6.523,=,IC50,CHEMBL334395,2004.0,0.357,2,2,0,324.1,False
AChE,1,True,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,6.699,=,IC50,CHEMBL131320,2004.0,0.357,2,2,0,344.1,False
AChE,0,True,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,4.301,>,IC50,CHEMBL339297,2004.0,0.25,3,3,0,367.2,False
AChE,1,True,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,6.301,=,IC50,CHEMBL337714,2004.0,0.308,2,2,0,330.1,False
AChE,0,True,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,4.0,>,IC50,CHEMBL122575,1998.0,0.211,2,3,2,354.1,False
AChE,0,True,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,4.301,>,IC50,CHEMBL130704,2004.0,0.4,2,3,0,318.1,False
AChE,0,False,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,3.585,=,IC50,CHEMBL46151,1986.0,0.467,1,1,0,310.1,False
AChE,1,False,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],7.658,=,IC50,CHEMBL54126,1993.0,0.417,1,1,0,223.1,False
AChE,0,False,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],3.0,>,IC50,CHEMBL297316,1986.0,0.385,1,1,0,285.1,False
AChE,1,True,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.398,=,IC50,CHEMBL431519,1995.0,0.75,1,4,2,486.4,True
AChE,0,False,Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],3.0,>,IC50,CHEMBL296429,1986.0,0.429,1,1,0,281.1,False
AChE,1,True,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,7.137,=,IC50,CHEMBL154972,1993.0,0.391,2,4,0,402.2,False
AChE,0,False,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,3.284,=,IC50,CHEMBL544022,1986.0,0.429,1,1,0,314.1,False
AChE,0,False,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],3.0,>,IC50,CHEMBL45118,1986.0,0.5,1,1,0,325.2,False
AChE,0,False,Cc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1.Cl,3.0,>,IC50,CHEMBL542609,1986.0,0.385,1,1,0,266.1,False
AChE,1,True,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,6.268,=,IC50,CHEMBL155322,1993.0,0.6,1,3,1,368.2,True
AChE,1,True,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,7.523,=,IC50,CHEMBL154211,1993.0,0.579,1,3,0,354.2,True
AChE,1,False,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,6.081,=,IC50,CHEMBL1203537,1993.0,0.556,1,2,0,342.2,True
AChE,0,True,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4.699,>,IC50,CHEMBL86,1993.0,0.5,1,1,0,299.1,False
AChE,0,False,COc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],3.0,>,IC50,CHEMBL47375,1986.0,0.429,1,1,0,297.1,False
AChE,0,False,CN(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,3.0,>,IC50,CHEMBL542360,1986.0,0.333,1,1,0,286.1,False
AChE,1,True,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,6.409,=,IC50,CHEMBL345849,1993.0,0.579,1,3,0,370.2,True
AChE,1,True,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,6.409,=,IC50,CHEMBL154689,1993.0,0.5,1,2,0,314.2,False
AChE,1,True,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,6.367,=,IC50,CHEMBL346733,1993.0,0.529,1,2,0,328.2,False
AChE,0,True,COc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1,3.0,>,IC50,CHEMBL416464,1986.0,0.385,1,1,0,282.1,False
AChE,1,False,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,6.222,=,IC50,CHEMBL1203539,1993.0,0.556,1,2,0,342.2,True
AChE,0,False,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],3.0,>,IC50,CHEMBL296786,1986.0,0.467,1,1,0,329.1,False
AChE,0,True,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,4.678,=,IC50,CHEMBL63173,1995.0,0.682,1,4,2,402.3,True
AChE,1,True,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,6.538,=,IC50,CHEMBL433041,1995.0,0.667,1,3,2,359.3,True
AChE,1,True,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,6.155,=,IC50,CHEMBL292788,1995.0,0.65,1,4,2,374.2,True
AChE,0,False,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],3.337,=,IC50,CHEMBL33051,1986.0,0.143,2,2,0,288.1,False
AChE,1,True,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,6.201,=,IC50,CHEMBL155392,1993.0,0.467,1,1,0,302.2,False
AChE,0,False,CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl,3.481,=,IC50,CHEMBL543546,1986.0,0.5,1,1,0,342.1,False
AChE,0,False,C[n+]1ccccc1C=NO,3.469,=,IC50,CHEMBL1420,1986.0,0.143,1,1,0,137.1,False
AChE,0,False,CCN(CC)CCS/C(=N\O)C(=O)c1ccccc1.Cl,3.0,>,IC50,CHEMBL556172,1986.0,0.429,1,1,0,280.1,False
AChE,1,True,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,6.538,=,IC50,CHEMBL154263,1993.0,0.6,1,3,0,368.2,True
AChE,0,False,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,3.678,=,IC50,CHEMBL544669,1986.0,0.429,1,1,0,358.0,False
AChE,1,True,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.398,=,IC50,CHEMBL62664,1995.0,0.759,1,4,2,500.4,True
AChE,1,True,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,7.097,=,IC50,CHEMBL155111,1993.0,0.556,1,3,0,340.2,True
AChE,1,False,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,7.022,=,IC50,CHEMBL1203534,1993.0,0.474,1,3,0,352.2,False
AChE,0,False,CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,3.149,=,IC50,CHEMBL541044,1986.0,0.333,1,1,0,330.0,False
AChE,0,False,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl,3.745,=,IC50,CHEMBL543779,1986.0,0.4,1,1,0,305.1,False
AChE,0,True,CNC(NCCNCc1ccc(COC)o1)=C(C#N)C#N,4.699,>,IC50,CHEMBL155495,1993.0,0.429,1,1,0,289.2,False
AChE,1,True,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,7.222,=,IC50,CHEMBL64011,1995.0,0.741,1,4,2,472.3,True
