uniprot,target_name,already_in_panel,compounds,actives,inactives,measurements,sp3_rich_non_aromatic,pct_gap_chemistry,cns_keyword,trainable
Q16236,Nuclear factor erythroid 2-related factor 2,,652,72,580,1029,215,33.0,False,True
O75496,Geminin,,594,274,320,789,187,31.5,False,True
P00352,Aldehyde dehydrogenase 1A1,,540,16,524,699,106,19.6,False,True
P10275,Androgen Receptor,,488,93,395,1194,180,36.9,True,True
P08684,Cytochrome P450 3A4,,453,61,392,991,88,19.4,False,True
P83916,Chromobox protein homolog 1,,413,15,398,431,119,28.8,False,True
P10636,Microtubule-associated protein tau,,400,23,377,848,76,19.0,True,True
Q9UNA4,DNA polymerase iota,,386,15,371,419,78,20.2,False,True
P27695,DNA-(apurinic or apyrimidinic site) lyase,,375,123,252,483,96,25.6,False,True
P18031,Protein-tyrosine phosphatase 1B,,374,21,353,432,137,36.6,False,True
Q96KQ7,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3",,352,77,275,423,88,25.0,False,True
P11473,Vitamin D receptor,,350,24,326,561,119,34.0,True,True
O94782,Ubiquitin carboxyl-terminal hydrolase 1,,346,16,330,397,88,25.4,False,True
P02545,Prelamin-A/C,,316,152,164,365,111,35.1,False,True
Q03181,Peroxisome proliferator-activated receptor delta,,311,45,266,538,135,43.4,True,True
Q96QE3,ATPase family AAA domain-containing protein 5,,306,42,264,424,73,23.9,False,True
P22303,Acetylcholinesterase,AChE,298,42,256,755,112,37.6,True,True
Q9UBT6,DNA polymerase kappa,,298,34,264,365,65,21.8,False,True
P19838,Nuclear factor NF-kappa-B p105 subunit,,263,57,206,362,100,38.0,False,True
Q99700,Ataxin-2,,263,30,233,315,57,21.7,False,True
Q99714,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,,251,19,232,370,37,14.7,True,True
Q9NUW8,Tyrosyl-DNA phosphodiesterase 1,,243,57,186,314,45,18.5,True,True
N.A,Glutamate [NMDA] receptor,,242,101,141,427,92,38.0,True,True
Q92830,Histone acetyltransferase GCN5,,230,19,211,247,63,27.4,False,True
P04637,Cellular tumor antigen p53,,227,42,185,322,46,20.3,False,True
P84022,Mothers against decapentaplegic homolog 3,,220,37,183,246,49,22.3,False,True
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,,218,37,181,260,71,32.6,False,True
P16473,Thyroid stimulating hormone receptor,,217,47,170,414,55,25.3,True,True
P05412,Proto-oncogene c-JUN,,211,29,182,249,80,37.9,False,True
P10635,Cytochrome P450 2D6,,210,29,181,335,28,13.3,False,True
P43220,Glucagon-like peptide 1 receptor,,205,20,185,229,50,24.4,True,True
P10828,Thyroid hormone receptor beta-1,,203,86,117,291,66,32.5,True,True
P28482,MAP kinase ERK2,,190,28,162,264,23,12.1,True,True
Q9UIF8,Bromodomain adjacent to zinc finger domain protein 2B,,190,30,160,191,28,14.7,False,True
Q13148,TAR DNA-binding protein 43,,183,23,160,187,54,29.5,False,True
Q16637,Survival motor neuron protein,,171,41,130,217,40,23.4,False,True
P49798,Regulator of G-protein signaling 4,,168,50,118,183,52,31.0,False,True
P16050,Arachidonate 15-lipoxygenase,,159,28,131,175,38,23.9,False,True
P37231,Peroxisome proliferator-activated receptor gamma,,157,23,134,460,44,28.0,True,True
Q96RI1,Bile acid receptor FXR,,149,46,103,222,81,54.4,True,True
P03372,Estrogen receptor alpha,,148,40,108,580,45,30.4,True,True
P35354,Cyclooxygenase-2,COX2,146,22,124,491,58,39.7,True,True
P11712,Cytochrome P450 2C9,,145,22,123,183,21,14.5,False,True
P54132,Bloom syndrome protein,,143,48,95,248,34,23.8,False,True
P04150,Glucocorticoid receptor,,140,64,76,461,57,40.7,True,True
P46063,ATP-dependent DNA helicase Q1,,136,16,120,188,18,13.2,False,True
P08183,P-glycoprotein 1,,125,37,88,327,15,12.0,False,True
P33261,Cytochrome P450 2C19,,125,25,100,153,22,17.6,False,True
P00918,Carbonic anhydrase II,,120,29,91,325,12,10.0,True,True
