endpoint,np_id,smiles,inchikey,pchembl,relation,activity_type,label,already_in_table,fsp3,aromatic_rings,mw,fills_the_gap
CB1,NPC477523,CC(=O)OC[C@H](COC)N(C)C(=O)CC/C=C/CCCCC(CCCCCCCl)Cl,VFUSKSIAISUKGN-DUNCQPMOSA-N,6.229,=,Ki,1,False,0.826,0,465.2,True
CB2,NPC477524,CC(=O)OC[C@H](COC)N(C)C(=O)CC/C=C/CCCCC(CCCCCC(Cl)Cl)Cl,JBEYLLUXESVNSE-QOZDHKFNSA-N,6.066,=,Ki,1,False,0.826,0,499.2,True
CB1,NPC477524,CC(=O)OC[C@H](COC)N(C)C(=O)CC/C=C/CCCCC(CCCCCC(Cl)Cl)Cl,JBEYLLUXESVNSE-QOZDHKFNSA-N,6.387,=,Ki,1,False,0.826,0,499.2,True
CB1,NPC477525,C/C(=C\\C=C\\CCCC=C)/CCCC/C=C/CC/C=C\\C(=O)NC(CO)CO,QZDRALHHNJQOTA-ZWMNDHQQSA-N,6.328,=,Ki,1,False,0.542,0,389.3,False
AChE,NPC477065,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=CC(=C5)[C@@H]6C[C@@H]7[C@@H](CN([C@@H](C7C(=O)OC)CC8=C6NC9=CC=CC=C89)C)CC,VFOGOXRSGPCZGG-QPFJEDRLSA-N,6.644,=,IC50,1,False,0.575,4,618.4,False
mTOR,NPC333139,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,QDLHCMPXEPAAMD-QAIWCSMKSA-N,7.398,=,IC50,1,False,0.565,1,428.1,True
M3,NPC477588,CCCCCCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,CILDOHPTQUQJJM-UHFFFAOYSA-N,6.638,=,Ki,1,False,0.659,2,785.5,False
M3,NPC477586,CCCCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,QFWVGKDFYOXTQO-UHFFFAOYSA-N,6.201,=,IC50,1,False,0.641,2,757.4,False
M3,NPC477586,CCCCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,QFWVGKDFYOXTQO-UHFFFAOYSA-N,6.886,=,Ki,1,False,0.641,2,757.4,False
M1,NPC477586,CCCCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,QFWVGKDFYOXTQO-UHFFFAOYSA-N,6.31,=,Ki,1,False,0.641,2,757.4,False
M2,NPC477586,CCCCCCCCCCCC(C(C)C(=O)NC1CCCCN(C1=O)O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,QFWVGKDFYOXTQO-UHFFFAOYSA-N,6.201,=,Ki,1,False,0.641,2,757.4,False
M3,NPC477587,CCCCCCCCCCCC(C(C)C(=O)NC1CCCCNC1=O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,ZRSRFOLUVALIAN-UHFFFAOYSA-N,6.0,=,Ki,1,False,0.641,2,741.4,False
M3,NPC477589,CCCCCCCCCCCCCC(C(C)C(=O)NC1CCCCNC1=O)OC(=O)C(CCCCN(C(=O)C)O)NC(=O)C2=COC(=N2)C3=CC=CC=C3O,PIFYJYLXAXDUEB-UHFFFAOYSA-N,6.013,=,Ki,1,False,0.659,2,769.5,False
HT1A,NPC477080,C[N+]1([C@H]2CC3=CC4=C(COC4)C=C3[C@@H]1CC5=CC6=C(C=C25)OCO6)C.[Cl-],GLCGPUDWOPXBAY-HLRBRJAUSA-M,4.0,>,EC50,0,False,0.429,2,336.2,False
