endpoint,measurements,distinct_compounds,new_to_endpoint,actives,sp3_rich_non_aromatic,median_fsp3
AChE,755,298,739,443,116,0.429
COX2,491,146,477,300,64,0.118
HDAC1,390,19,389,374,30,0.429
BChE,338,132,322,155,70,0.3695
HDAC6,316,15,315,300,20,0.429
OPRM1,295,42,295,264,41,0.526
COX1,294,113,294,111,29,0.158
CB1,266,48,261,247,146,0.591
CB2,255,52,255,235,126,0.579
hERG,220,119,218,44,33,0.412
MAO_A,271,86,205,139,2,0.385
OPRD1,200,43,200,156,39,0.526
SERT,200,31,199,181,17,0.368
OPRK1,194,28,194,179,119,0.652
BACE1,176,118,174,54,28,0.286
MAO_B,281,77,145,157,5,0.385
D1,140,83,140,96,14,0.35050000000000003
GSK3B,140,51,138,75,2,0.286
GBA1,138,97,138,6,32,0.2375
HT1A,136,60,135,93,4,0.2
D2,132,34,132,122,2,0.25
p38a,126,27,126,90,2,0.048
mTOR,124,58,121,27,25,0.295
HT2A,113,40,113,100,0,0.25
HT2C,102,43,102,88,5,0.2
NET,101,24,101,84,16,0.333
DAT,99,20,98,72,7,0.529
ADRB2,98,22,98,72,5,0.455
D3,88,26,88,85,2,0.25
MT1,82,5,82,80,0,0.308
Sigma1,77,29,76,67,42,0.579
HT7,74,34,74,52,2,0.2
a7nAChR,70,25,69,27,22,0.5
A2A,64,15,64,14,4,0.375
M2,63,14,63,59,54,0.588
M1,63,21,63,41,44,0.609
HT6,61,23,61,52,1,0.263
ADRA1A,61,17,61,57,2,0.333
ADRA2A,55,26,55,52,13,0.389
H1,51,13,51,40,1,0.381
PDE4B,47,8,46,39,38,0.562
A1,44,15,44,16,2,0.375
JNK3,44,20,44,22,1,0.095
H3,43,7,43,41,9,0.4
M3,36,17,36,30,24,0.625
CSF1R,33,12,33,26,0,0.241
GABAA_a5,27,16,27,7,7,0.25
ROCK1,26,14,26,10,1,0.321
CTSB,26,16,26,15,17,0.7144999999999999
LRRK2,25,14,25,11,0,0.241
GluN2B,24,5,24,19,4,0.429
SIRT1,24,6,24,6,3,0.0
RIPK1,22,11,22,3,0,0.257
HT4,19,3,19,19,0,0.375
PDE5,19,13,19,4,7,0.37
D4,19,6,19,17,0,0.25
CASP3,18,10,18,5,2,0.552
HT3A,17,14,17,5,2,0.25
PDE10A,17,4,17,14,1,0.25
PARP1,15,10,15,1,0,0.0
Nav1_5,14,11,14,4,3,0.4155
GluA2,14,3,14,4,13,0.6
mGluR5,10,5,10,4,6,0.6
TAAR1,10,4,8,10,0,0.25
P2X7,6,4,6,2,0,0.55
NLRP3,5,5,5,0,0,0.062
Nav1_7,5,4,5,5,4,0.909
Nav1_8,4,4,4,0,2,0.5
Cav3_2,3,3,3,3,0,0.25
Nav1_1,3,2,3,3,3,0.909
Nav1_6,3,2,3,3,3,0.909
GABA_A,2,1,2,2,0,0.125
DHODH,3,3,2,1,1,0.2
a3b4nAChR,1,1,0,0,0,0.5
