endpoint,split,n,n_positive,n_scaffolds,permuted_roc_auc_mean,permuted_roc_auc_sd,permuted_roc_auc_min_fold,permuted_roc_auc_max_fold
BBB,random,3901,2473,2083,0.4898,0.0293,0.4502,0.5329
BBB,scaffold,3901,2473,2083,0.4917,0.0345,0.4446,0.5627
AChE,random,5125,3014,2395,0.4941,0.0381,0.4313,0.5363
AChE,scaffold,5125,3014,2395,0.5071,0.0279,0.4605,0.5456
BChE,random,3278,1760,1573,0.4982,0.0362,0.4434,0.557
BChE,scaffold,3278,1760,1573,0.5199,0.0245,0.474,0.5515
BACE1,random,8207,7096,3247,0.4877,0.0205,0.4435,0.507
BACE1,scaffold,8207,7096,3247,0.483,0.0328,0.4226,0.5428
GSK3B,random,5439,4056,2664,0.52,0.0265,0.4764,0.5566
GSK3B,scaffold,5439,4056,2664,0.5175,0.021,0.4934,0.5692
MAO_A,random,3585,857,1403,0.4892,0.0344,0.4466,0.5586
MAO_A,scaffold,3585,857,1403,0.5109,0.0457,0.4211,0.5662
MAO_B,random,4534,2299,1649,0.5015,0.0341,0.4554,0.5667
MAO_B,scaffold,4534,2299,1649,0.4918,0.0224,0.4681,0.5323
hERG,random,9933,2370,5680,0.4868,0.0197,0.45,0.5125
hERG,scaffold,9933,2370,5680,0.4988,0.0254,0.4538,0.5405
