endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
BBB,classification,random,1,3510,391,0.9002086623054365,0.9418844681419312,0.5995571164075199,0.864244741873805,0.7843164899616513,,,,
BBB,classification,random,2,3511,390,0.9106763681662466,0.9459675628929958,0.6525425203321975,0.8779527559055118,0.8185498711814501,,,,
BBB,classification,random,3,3511,390,0.923133546615328,0.9559610610793959,0.6584253685214672,0.8796844181459567,0.8220463746779536,,,,
BBB,classification,random,4,3511,390,0.9067693440163076,0.9342964152483425,0.666172348988495,0.88,0.8299595141700404,,,,
BBB,classification,random,5,3511,390,0.8680388437473457,0.9230944537841644,0.5301567863664117,0.8333333333333334,0.7607655502392345,,,,
BBB,classification,random,6,3511,390,0.8845446051923785,0.9299071545048037,0.5408606113088759,0.8445297504798465,0.7565329407434671,,,,
BBB,classification,random,7,3511,390,0.8992667251776564,0.9457622006854676,0.5545447154477446,0.8460038986354775,0.7679425837320574,,,,
BBB,classification,random,8,3511,390,0.9144701452393761,0.9507500282764441,0.6403963068362553,0.875,0.8100846521899154,,,,
BBB,classification,random,9,3511,390,0.8868980009086779,0.9307903467748111,0.6101960783916776,0.86,0.8031860517946388,,,,
BBB,classification,random,10,3511,390,0.8964391185824626,0.9306721247853191,0.6273020876423487,0.872093023255814,0.8022205815538391,,,,
BBB,classification,scaffold,1,3510,391,0.8176090108174418,0.8788282604947721,0.4659123499872607,0.8183556405353728,0.7174361547897847,,,,
BBB,classification,scaffold,2,3511,390,0.871951410412949,0.9213499107411645,0.6209739639946101,0.8936170212765957,0.7948717948717949,,,,
BBB,classification,scaffold,3,3511,390,0.9156172839506174,0.9563536178495784,0.6658375526092281,0.9028776978417267,0.8189814814814815,,,,
BBB,classification,scaffold,4,3511,390,0.839871621442402,0.8739340015813507,0.48423654741961747,0.7863247863247863,0.7313599108776956,,,,
BBB,classification,scaffold,5,3511,390,0.8939279415469891,0.9359481255094126,0.5814240671473607,0.8405797101449275,0.7918451331149744,,,,
BBB,classification,scaffold,6,3511,390,0.9088601021320794,0.947377951235995,0.6349361358518106,0.8712871287128713,0.8179942875277689,,,,
BBB,classification,scaffold,7,3511,390,0.9178131190843055,0.9434993047468672,0.6750978509699083,0.8760330578512396,0.8322694254897645,,,,
BBB,classification,scaffold,8,3511,390,0.8714788732394366,0.9211159680913217,0.520129621616589,0.8450184501845018,0.732820308950477,,,,
BBB,classification,scaffold,9,3511,390,0.8881198553077558,0.9351380307268627,0.5688820930871045,0.8527131782945736,0.7751004016064257,,,,
BBB,classification,scaffold,10,3511,390,0.8520940938693017,0.9058183648980522,0.48190523061844964,0.8151093439363817,0.7351504603637997,,,,
AChE,classification,random,1,4612,513,0.957675528075076,0.9706517748456245,0.7890837332026939,0.9106239460370995,0.8972568343743135,,,,
AChE,classification,random,2,4612,513,0.9636389316091774,0.9736342673363053,0.7677507567586342,0.903010033444816,0.8854084931420859,,,,
AChE,classification,random,3,4612,513,0.9619440695521171,0.9722611188296988,0.787576594159984,0.9115191986644408,0.8951147170521955,,,,
AChE,classification,random,4,4612,513,0.9697749599824236,0.9780497620552567,0.8280985857071843,0.9279731993299832,0.9159552430871598,,,,
AChE,classification,random,5,4612,513,0.9599291669278506,0.9696990893474954,0.7883041310928239,0.9109243697478991,0.8959208299379426,,,,
AChE,classification,random,6,4613,512,0.9617389113696839,0.9720728811443037,0.7977377183784848,0.9188311688311688,0.8942702838878305,,,,
AChE,classification,random,7,4613,512,0.9702098849018281,0.9777187504226126,0.8240682714446474,0.9259259259259259,0.9141566027932169,,,,
AChE,classification,random,8,4613,512,0.967501692620176,0.9722383926362924,0.8141627404685102,0.9240924092409241,0.9058745729086299,,,,
AChE,classification,random,9,4613,512,0.9754530711215381,0.9831844350356196,0.8470738780659987,0.9366666666666666,0.9241233802018548,,,,
AChE,classification,random,10,4613,512,0.9707609705405363,0.9802968477899985,0.8405759915114095,0.9324324324324325,0.9229267371006598,,,,
AChE,classification,scaffold,1,4612,513,0.8908296943231441,0.9211196949216048,0.6402392563997531,0.8031809145129225,0.8185158988867705,,,,
AChE,classification,scaffold,2,4612,513,0.9098737083811711,0.9379374753284299,0.6303453302363672,0.8525121555915721,0.8169967470340604,,,,
