endpoint,task,split,n,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,f1_mean,f1_sd,balanced_acc_mean,balanced_acc_sd,r2_mean,r2_sd,rmse_mean,rmse_sd,mae_mean,mae_sd,spearman_mean,spearman_sd
BBB,classification,random,3901,0.899,0.0161,0.9389,0.0107,0.608,0.0504,0.8633,0.0168,0.7956,0.0266,,,,,,,,
BBB,classification,scaffold,3901,0.8777,0.0336,0.9219,0.0281,0.5699,0.0786,0.8502,0.0369,0.7748,0.0426,,,,,,,,
AChE,classification,random,4877,0.9696,0.0066,0.9801,0.0042,0.8261,0.0249,0.9331,0.0096,0.9138,0.0127,,,,,,,,
AChE,classification,scaffold,4877,0.9237,0.0317,0.9529,0.0205,0.6748,0.0758,0.8699,0.045,0.84,0.0362,,,,,,,,
BChE,classification,random,3094,0.9771,0.0082,0.9838,0.0054,0.8392,0.0369,0.9285,0.0166,0.9216,0.0185,,,,,,,,
BChE,classification,scaffold,3094,0.9532,0.0188,0.9686,0.0151,0.7647,0.0684,0.8923,0.0347,0.8864,0.034,,,,,,,,
BACE1,classification,random,8023,0.9815,0.0057,0.9973,0.001,0.8097,0.0266,0.9787,0.0026,0.8986,0.0201,,,,,,,,
BACE1,classification,scaffold,8023,0.9701,0.0106,0.9956,0.0022,0.7588,0.0531,0.9732,0.0093,0.8713,0.0292,,,,,,,,
GSK3B,classification,random,4880,0.9728,0.0058,0.9944,0.0014,0.7331,0.021,0.9579,0.0036,0.8408,0.0151,,,,,,,,
GSK3B,classification,scaffold,4880,0.9488,0.021,0.989,0.0051,0.6601,0.0526,0.948,0.0116,0.8006,0.0423,,,,,,,,
MAO_A,classification,random,3197,0.9627,0.0105,0.9199,0.0271,0.7649,0.0336,0.8235,0.0252,0.8695,0.0174,,,,,,,,
MAO_A,classification,scaffold,3197,0.9031,0.0513,0.8173,0.0934,0.6204,0.1393,0.6979,0.1141,0.7834,0.0768,,,,,,,,
MAO_B,classification,random,4196,0.9654,0.0077,0.9718,0.0067,0.8017,0.0322,0.9119,0.0139,0.8997,0.0168,,,,,,,,
MAO_B,classification,scaffold,4196,0.9166,0.027,0.9238,0.031,0.683,0.0517,0.8578,0.0314,0.8393,0.0291,,,,,,,,
hERG,classification,random,8798,0.9612,0.0045,0.9202,0.0103,0.7774,0.0246,0.8294,0.0193,0.8692,0.0142,,,,,,,,
hERG,classification,scaffold,8798,0.9378,0.0108,0.8718,0.0326,0.6988,0.0355,0.7592,0.0382,0.8178,0.0249,,,,,,,,
D2,regression,random,7231,,,,,,,,,,,0.6221,0.0203,0.6283,0.0222,0.4448,0.014,0.7811,0.0117
D2,regression,scaffold,7231,,,,,,,,,,,0.5125,0.0317,0.7113,0.054,0.5084,0.0376,0.7047,0.0213
A2A,regression,random,6382,,,,,,,,,,,0.7053,0.025,0.6667,0.025,0.4759,0.0155,0.8284,0.021
A2A,regression,scaffold,6382,,,,,,,,,,,0.6036,0.041,0.7672,0.064,0.5652,0.04,0.7676,0.0335
HT2A,regression,random,5621,,,,,,,,,,,0.6492,0.0255,0.6419,0.0257,0.4622,0.0189,0.8089,0.0108
HT2A,regression,scaffold,5621,,,,,,,,,,,0.5215,0.0737,0.7402,0.0627,0.5458,0.0479,0.7146,0.0434
SERT,regression,random,4166,,,,,,,,,,,0.667,0.0348,0.6666,0.0389,0.488,0.0243,0.7919,0.0149
SERT,regression,scaffold,4166,,,,,,,,,,,0.4203,0.0847,0.8575,0.1956,0.6286,0.1149,0.6553,0.0899
antioxidant_DPPH,regression,random,2782,,,,,,,,,,,0.6592,0.0503,0.4606,0.0187,0.3086,0.0134,0.8069,0.0283
antioxidant_DPPH,regression,scaffold,2782,,,,,,,,,,,0.4161,0.1478,0.586,0.078,0.4183,0.0517,0.6398,0.1066
