endpoint,task,split,n,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,f1_mean,f1_sd,balanced_acc_mean,balanced_acc_sd,r2_mean,r2_sd,rmse_mean,rmse_sd,mae_mean,mae_sd,spearman_mean,spearman_sd
BBB,classification,random,7805,0.9605,0.0075,0.977,0.0045,0.7572,0.0292,0.9136,0.0102,0.8733,0.0152,,,,,,,,
BBB,classification,scaffold,7805,0.9197,0.0367,0.9508,0.0231,0.6583,0.0943,0.8821,0.0354,0.8204,0.0512,,,,,,,,
AChE,classification,random,4324,0.9626,0.0109,0.9838,0.0053,0.7791,0.0332,0.9383,0.0087,0.8856,0.0207,,,,,,,,
AChE,classification,scaffold,4324,0.9198,0.0253,0.9658,0.0102,0.6419,0.0884,0.8994,0.0276,0.8179,0.0452,,,,,,,,
BChE,classification,random,2580,0.9704,0.0112,0.9869,0.0059,0.7922,0.0456,0.9336,0.017,0.9026,0.0189,,,,,,,,
BChE,classification,scaffold,2580,0.9396,0.0294,0.9743,0.0136,0.6933,0.1009,0.9008,0.0354,0.8556,0.0534,,,,,,,,
BACE1,classification,random,8067,0.9658,0.013,0.9956,0.0017,0.7358,0.0556,0.9756,0.005,0.8572,0.0341,,,,,,,,
BACE1,classification,scaffold,8067,0.9572,0.0162,0.9946,0.0026,0.6874,0.0763,0.972,0.0092,0.8251,0.042,,,,,,,,
GSK3B,classification,random,4044,0.9665,0.012,0.9966,0.0013,0.6591,0.0616,0.9731,0.005,0.7993,0.0316,,,,,,,,
GSK3B,classification,scaffold,4044,0.9412,0.0259,0.9938,0.0033,0.5797,0.061,0.9685,0.0088,0.7456,0.0463,,,,,,,,
MAO_A,classification,random,2141,0.9461,0.0158,0.926,0.0259,0.7559,0.0257,0.8431,0.0181,0.872,0.0152,,,,,,,,
MAO_A,classification,scaffold,2141,0.8675,0.0304,0.8176,0.0482,0.569,0.0753,0.7058,0.0589,0.7718,0.0405,,,,,,,,
MAO_B,classification,random,3455,0.954,0.0132,0.9757,0.0077,0.7454,0.0542,0.9139,0.0177,0.8665,0.0284,,,,,,,,
MAO_B,classification,scaffold,3455,0.8798,0.0528,0.9233,0.0524,0.5799,0.0944,0.8524,0.0585,0.7836,0.046,,,,,,,,
hERG,classification,random,5905,0.9552,0.0065,0.9435,0.0096,0.7708,0.0257,0.861,0.0158,0.8802,0.0131,,,,,,,,
hERG,classification,scaffold,5905,0.9207,0.0227,0.9015,0.0227,0.6751,0.0502,0.7939,0.038,0.8279,0.0294,,,,,,,,
D2,regression,random,7511,,,,,,,,,,,0.6072,0.0396,0.5877,0.033,0.4211,0.0196,0.7769,0.0277
D2,regression,scaffold,7511,,,,,,,,,,,0.4901,0.0498,0.6679,0.0458,0.4813,0.034,0.6959,0.0389
A2A,regression,random,5547,,,,,,,,,,,0.6618,0.031,0.6209,0.0282,0.4507,0.0205,0.8021,0.0167
A2A,regression,scaffold,5547,,,,,,,,,,,0.5633,0.0382,0.7003,0.035,0.525,0.026,0.7346,0.0444
HT2A,regression,random,5256,,,,,,,,,,,0.6418,0.0284,0.6145,0.0247,0.4452,0.0143,0.8119,0.0162
HT2A,regression,scaffold,5256,,,,,,,,,,,0.5053,0.0692,0.7135,0.0629,0.5249,0.0439,0.7082,0.0684
SERT,regression,random,4471,,,,,,,,,,,0.6105,0.0364,0.6434,0.0406,0.4777,0.0266,0.78,0.0247
SERT,regression,scaffold,4471,,,,,,,,,,,0.385,0.0888,0.7949,0.0951,0.607,0.0586,0.601,0.0803
antioxidant_DPPH,regression,random,2862,,,,,,,,,,,0.6689,0.0648,0.4523,0.0551,0.3037,0.0327,0.8071,0.0378
antioxidant_DPPH,regression,scaffold,2862,,,,,,,,,,,0.4337,0.0995,0.5867,0.0652,0.4177,0.0477,0.6502,0.1014
