endpoint,task,cutoff_year,n_train,n_test,metric,score
AChE,classification,2020,3392,839,auroc,0.785
BChE,classification,2021,2015,527,auroc,0.737
BACE1,classification,2017,6497,1604,auroc,0.91
GSK3B,classification,2021,3274,417,auroc,0.662
MAO_A,classification,2020,1667,446,auroc,0.611
MAO_B,classification,2020,2697,755,auroc,0.781
hERG,classification,2019,4570,1248,auroc,0.785
D2,regression,2019,6079,1396,r2,0.047
A2A,regression,2021,4479,1057,r2,0.341
HT2A,regression,2020,4275,895,r2,0.175
SERT,regression,2015,3378,999,r2,0.112
antioxidant_DPPH,regression,2016,2340,522,r2,0.009
