target,triage_threshold,triage_sensitivity,screening_threshold,screening_sensitivity,screening_background_fpr
A1,0.8556,0.864,0.9955,0.507,0.01
A2A,0.978,0.76,0.9991,0.377,0.01
a7nAChR,0.773,0.784,0.773,0.92,0.0077
CB1,0.9908,0.608,0.9995,0.488,0.01
COX2,0.9397,0.289,0.9397,0.661,0.0073
CSF1R,0.18,0.961,0.9923,0.809,0.01
D2,0.9798,0.54,0.9973,0.325,0.01
D3,0.9688,0.788,0.9995,0.586,0.0163
DAT,0.5368,0.89,0.9908,0.723,0.01
GABA_A,0.1067,0.658,0.3918,0.891,0.01
GBA1,0.2912,0.333,0.2912,0.658,0.0013
GluN2B,0.9902,0.858,0.9902,0.832,0.0047
H3,0.7995,0.938,0.9992,0.46,0.01
HDAC1,0.8941,0.866,0.9868,0.399,0.01
HDAC6,0.9839,0.804,0.9952,0.356,0.01
HT1A,0.953,0.791,0.9995,0.473,0.0197
HT2A,0.9933,0.501,0.9995,0.414,0.0127
HT6,0.8695,0.867,0.9973,0.551,0.01
HT7,0.8035,0.871,0.995,0.581,0.01
KEAP1,0.779,0.8,0.779,0.697,0.004
LRRK2,0.05,0.978,0.5323,0.962,0.01
mGluR5,0.9969,0.547,0.9969,0.662,0.0083
MT1,0.9768,0.681,0.9768,0.841,0.004
mTOR,0.6666,0.971,0.9995,0.811,0.019
Nav1_5,0.4947,0.826,0.6629,0.9,0.01
NET,0.6257,0.839,0.9817,0.757,0.01
NLRP3,0.0967,0.922,0.2617,0.973,0.01
OPRK1,0.9505,0.817,0.9995,0.598,0.016
OPRM1,0.7694,0.888,0.9992,0.303,0.01
OX1,0.9694,0.893,0.9993,0.416,0.01
OX2,0.1641,0.971,0.9995,0.741,0.0247
P2X7,0.999,0.588,0.9995,0.695,0.015
PDE10A,0.9565,0.808,0.9991,0.473,0.01
PDE4B,0.1319,0.934,0.6067,0.937,0.01
SERT,0.627,0.847,0.9983,0.447,0.01
Sigma1,0.957,0.604,0.9958,0.42,0.01
SIRT1,0.582,0.821,0.6541,0.867,0.01
TAAR1,0.8934,0.378,0.9219,0.656,0.01
GluA2,0.7169,0.318,0.7784,0.402,0.01
Nav1_1,0.8296,0.3,0.8662,0.508,0.01
Nav1_7,0.9651,0.841,0.9905,0.457,0.01
a4b2nAChR,0.9344,0.532,0.9344,0.779,0.0017
a3b4nAChR,0.2379,0.941,0.3545,0.949,0.01
Nav1_6,0.9721,0.275,0.9721,0.551,0.0003
Nav1_8,0.4075,0.918,0.4075,0.954,0.0003
Cav3_2,0.0664,1.0,0.1898,0.994,0.01
CGRP,0.05,1.0,0.05,1.0,0.0067
DHODH,0.9941,0.62,0.9941,0.793,0.0003
RIPK1,0.05,0.985,0.0892,0.995,0.01
