endpoint,descriptor,n,spearman_r,p_value
BBB,mw,800,-0.935,0.0
BBB,clogp,800,0.5427,1.770849606454674e-62
BBB,tpsa,800,-0.9286,0.0
BBB,hbd,800,-0.9392,0.0
BBB,hba,800,-0.918,0.0
BBB,rotatable_bonds,800,-0.7793,3.928812945414627e-164
BBB,aromatic_rings,800,-0.6265,1.9159208427615532e-88
BBB,fraction_csp3,800,0.2242,1.430863651417718e-10
BBB,ring_count,800,0.4002,3.97187685824171e-32
BBB,heavy_atoms,800,-0.8836,3.518136991955077e-265
BBB,formal_charge,800,-0.219,3.838747111744587e-10
BBB,qed,800,0.9278,0.0
hERG,mw,800,0.6233,2.756221684212637e-87
hERG,clogp,800,0.9467,0.0
hERG,tpsa,800,-0.9126,0.0
hERG,hbd,800,-0.8749,1.4723833104745328e-253
hERG,hba,800,-0.9118,9.259302241552e-311
hERG,rotatable_bonds,800,0.8182,4.7042130707024343e-194
hERG,aromatic_rings,800,0.5166,8.968530952750926e-56
hERG,fraction_csp3,800,0.2654,2.326216018306381e-14
hERG,ring_count,800,0.8209,2.4591336330486267e-196
hERG,heavy_atoms,800,0.4636,6.992270221344426e-44
hERG,formal_charge,800,0.1365,0.00010751729472253577
hERG,qed,800,-0.8694,1.6474556866939433e-246
