endpoint,skeleton,n_stereoisomers,labels_disagree,potency_gap_log_units
A1,CC(=O)Nc1cc(N2CCCC2COc2ccccn2)nc(-n2nc(C)cc2C)n1,2,True,2.27
A1,CC(C)(OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)c1ccccc1,2,False,1.49
A1,CC(C)Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,3,False,0.19
A1,CC(C)C(Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)C2CC21)C1CC1,2,False,0.3
A1,CC(C)C(Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)C2(CO)CC12)C1CC1,2,False,0.01
A1,CCCCCC(O)C#Cc1nc(NCC)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1,2,False,0.04
A1,CCCn1c(OC2CCOC2)nc2nc(C3CCCC3)[nH]c2c1=O,2,False,0.23
A1,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCN(C(=O)c4cccc(C(F)(F)F)c4)C3)sc12,2,False,0.08
A1,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCC(NC(=O)c4cccc(C(F)(F)F)c4)C3)sc12,2,False,0.3
A1,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCC(NC(=O)c4cccc(C(F)(F)F)c4)CC3)sc12,2,False,0.45
A1,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCC(NS(=O)(=O)c4cccc(C(F)(F)F)c4)CC3),2,False,0.88
A1,CCNC(=O)C1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)N(C)C(C)C)cc4)ncnc32)C(O)C1,2,False,0.0
A1,CCNC(=O)C1OC(n2cnc3c(N)nc(C#CC(O)c4ccccc4)nc32)C(O)C1O,3,False,0.15
A1,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(Cc5c[nH]cn5)C(=O)O)cc4)nc,2,False,0.46
A1,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(Cc5ccccc5)C(=O)O)cc4)nc32,2,False,0.07
A1,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,2,True,1.53
A1,CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CC(C)O)nc32)C(O)C1O,2,False,0.27
A1,CCNC1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)C1,2,False,0.14
A1,CCNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,3,False,0.19
A1,CCNc1nc(N=[N+]=[N-])nc2c1ncn2C1C(O)C(O)C2(C(=O)NC)CC12,2,False,0.0
A1,CCC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,2,False,0.11
A1,CCC(Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)C2CC21)C1CC1,2,False,0.35
A1,CCC(Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)C2(CO)CC12)C1CC1,2,False,0.19
A1,CCC1CN2C(=O)N(Cc3ccccc3)c3nc(-c4cc(C)nn4C)[nH]c3C2=N1,2,False,0.17
A1,CCn1nnc(C2OC(n3cnc4c(N)nc(NC(C)Cc5ccc(OC)cc5)nc43)C(O)C2O)n1,3,False,0.41
A1,CN1CCCC1Cc1nc2c(-c3ccc4ncn(C)c4c3)c(-c3ccc(F)cc3)nc(N)n2n1,2,False,0.89
A1,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCCC(=O)NCCN)nc31)C(O)C2O,2,False,0.0
A1,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCCC(=O)OC)nc31)C(O)C2O,2,False,0.0
A1,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(Cl)nc31)C(O)C2O,2,False,0.0
A1,CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(I)c4)ncnc31)C(O)C2O,2,False,0.0
A1,CNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,3,False,0.13
A1,COCC1CCCN1c1cc(NC(C)=O)nc(-c2ccc(C)o2)n1,2,False,1.31
A1,COCC1CCCN1c1cc(NC(C)=O)nc(-c2ccccn2)n1,2,False,0.26
A1,COCC1CCCN1c1cc(NC(C)=O)nc(-c2cccs2)n1,2,False,0.2
A1,COCC1CCCN1c1cc(NC(C)=O)nc(-c2nccs2)n1,2,False,0.37
A1,COCC1CC(OC)CN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,2,False,0.24
A1,CC(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,2,False,1.05
A1,CC(NC(=O)c1nc(N)nc2c(F)cccc12)c1cccc2cccnc12,2,False,0.96
A1,CC(Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,2,False,0.44
A1,CC(O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,2,False,0.19
A1,CC(Nc1nc(C(=O)NC2CCC(O)C2)c2sccc2n1)c1cncc(F)c1,2,False,0.6
A1,CC(O)CNC(=O)c1nc(NC(C)c2cncc(F)c2)nc2cc(C(F)(F)F)sc12,2,False,0.0
A1,CC(O)CNC(=O)c1nc(NC(C)c2cncc(Cl)c2)nc2ccsc12,2,False,0.0
A1,Cc1cc(C)n(-c2cc(NC(=O)CN3CCCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1,2,False,1.1
A1,Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1,2,False,0.4
A1,Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,2,False,0.55
A1,Cc1cc2nc(NC(C)c3cncc(F)c3)nc(C(=O)NCC(C)O)c2s1,2,False,0.0
A1,Cc1cnc2ccc(-c3c(-c4ccc(F)cc4)nc(N)n4nc(CC5CCCN5C)nc34)cn12,2,False,0.3
A1,Cc1cnc2ccc(-c3c(-c4ncco4)nc(N)n4nc(CC5CCCO5)nc34)cn12,2,False,0.19
A1,Cc1cnc2ccc(-c3c(-c4ncco4)nc(N)n4nc(CC5CCOC5)nc34)cn12,2,False,0.2
