endpoint,task,stratum,n,mean_max_tanimoto,auroc,r2,spearman,rmse
AChE,classification,in_domain (T>=0.5),383,0.644,0.837,,,
AChE,classification,near_domain (0.3-0.5),514,0.384,0.623,,,
AChE,classification,out_domain (T<0.3),131,0.257,0.594,,,
BChE,classification,in_domain (T>=0.5),182,0.654,0.847,,,
BChE,classification,near_domain (0.3-0.5),345,0.373,0.767,,,
BChE,classification,out_domain (T<0.3),90,0.267,0.642,,,
BACE1,classification,in_domain (T>=0.5),877,0.684,0.894,,,
BACE1,classification,near_domain (0.3-0.5),716,0.406,0.926,,,
BACE1,classification,out_domain (T<0.3),80,0.247,0.394,,,
GSK3B,classification,in_domain (T>=0.5),231,0.671,0.695,,,
GSK3B,classification,near_domain (0.3-0.5),259,0.389,0.696,,,
GSK3B,classification,out_domain (T<0.3),56,0.264,0.625,,,
MAO_A,classification,in_domain (T>=0.5),267,0.604,0.79,,,
MAO_A,classification,near_domain (0.3-0.5),362,0.395,0.694,,,
MAO_A,classification,out_domain (T<0.3),190,0.264,0.696,,,
MAO_B,classification,in_domain (T>=0.5),466,0.626,0.904,,,
MAO_B,classification,near_domain (0.3-0.5),380,0.403,0.786,,,
MAO_B,classification,out_domain (T<0.3),77,0.261,0.675,,,
hERG,classification,in_domain (T>=0.5),348,0.607,0.927,,,
hERG,classification,near_domain (0.3-0.5),955,0.358,0.763,,,
hERG,classification,out_domain (T<0.3),756,0.266,0.479,,,
D2,regression,in_domain (T>=0.5),731,0.623,,0.183,0.444,0.929
D2,regression,near_domain (0.3-0.5),727,0.414,,-0.069,0.255,1.159
D2,regression,out_domain (T<0.3),98,0.273,,-0.123,-0.136,1.72
A2A,regression,in_domain (T>=0.5),698,0.609,,0.412,0.648,0.741
A2A,regression,near_domain (0.3-0.5),780,0.413,,0.133,0.41,1.105
A2A,regression,out_domain (T<0.3),38,0.277,,-0.065,0.088,1.34
HT2A,regression,in_domain (T>=0.5),504,0.632,,0.393,0.655,1.028
HT2A,regression,near_domain (0.3-0.5),400,0.389,,-0.045,0.117,1.441
HT2A,regression,out_domain (T<0.3),82,0.268,,-0.124,0.028,1.711
SERT,regression,in_domain (T>=0.5),460,0.631,,0.118,0.491,1.071
SERT,regression,near_domain (0.3-0.5),562,0.395,,0.098,0.371,1.391
SERT,regression,out_domain (T<0.3),125,0.265,,0.029,0.243,1.621
antioxidant_DPPH,regression,in_domain (T>=0.5),233,0.621,,0.179,0.586,0.806
antioxidant_DPPH,regression,near_domain (0.3-0.5),215,0.395,,-0.14,0.199,1.191
antioxidant_DPPH,regression,out_domain (T<0.3),74,0.272,,0.049,0.36,0.962
