endpoint,task,cutoff,n_train,n_test,base_rate_train,base_rate_test,auroc,auroc_random_same_n,auroc_recency_weighted,frac_test_in_domain,frac_test_out_domain,sd_train,sd_test,variance_ratio_test_train,r2,rmse,mae,spearman,r2_random_same_n,spearman_random_same_n,rmse_random_same_n,r2_recency_weighted,spearman_recency_weighted
AChE,classification,2020,3392,839,0.72,0.701,0.785,0.953,0.792,0.415,0.143,,,,,,,,,,,,
BChE,classification,2021,2015,527,0.661,0.827,0.737,0.959,0.751,0.321,0.182,,,,,,,,,,,,
BACE1,classification,2017,6497,1604,0.899,0.933,0.908,0.962,0.918,0.531,0.036,,,,,,,,,,,,
GSK3B,classification,2021,3270,417,0.914,0.928,0.657,0.983,0.665,0.523,0.129,,,,,,,,,,,,
MAO_A,classification,2020,1667,446,0.358,0.451,0.611,0.958,0.589,0.33,0.161,,,,,,,,,,,,
MAO_B,classification,2020,2697,755,0.64,0.71,0.781,0.963,0.774,0.453,0.114,,,,,,,,,,,,
hERG,classification,2019,4570,1248,0.439,0.305,0.785,0.957,0.788,0.144,0.398,,,,,,,,,,,,
D2,regression,2019,6081,1396,,,,,,0.491,0.057,0.938,0.944,1.013,0.042,0.924,0.674,0.4,0.594,0.762,0.579,0.055,0.408
A2A,regression,2021,4479,1057,,,,,,0.438,0.026,1.08,1.036,0.922,0.338,0.843,0.648,0.527,0.651,0.794,0.633,0.38,0.547
HT2A,regression,2020,4276,895,,,,,,0.521,0.077,1.002,1.175,1.375,0.182,1.063,0.833,0.483,0.632,0.804,0.602,0.11,0.449
SERT,regression,2015,3380,999,,,,,,0.417,0.092,1.012,1.095,1.171,0.1,1.039,0.812,0.389,0.617,0.788,0.623,0.094,0.368
antioxidant_DPPH,regression,2016,2340,522,,,,,,0.446,0.142,0.733,1.006,1.886,0.009,1.002,0.643,0.399,0.636,0.79,0.412,-0.023,0.356
