endpoint,compounds,changed,pct
DHODH,2079,65,3.127
COX2,4031,28,0.695
A2A,7001,14,0.2
MAO_B,4806,14,0.291
MAO_A,3789,10,0.264
BACE1,8962,7,0.078
A1,4508,7,0.155
hERG,10276,7,0.068
NRF2,651,7,1.075
NFKB1,263,7,2.662
D2,8548,6,0.07
GSK3B,5640,5,0.089
SIRT1,715,5,0.699
OX2,6894,3,0.044
AChE,5318,3,0.056
NLRP3,660,3,0.455
P2X7,4528,2,0.044
GABA_A,399,2,0.501
HT1A,5742,2,0.035
HT2A,6393,2,0.031
OX1,5735,1,0.017
NET,3315,1,0.03
NR3C1,140,1,0.714
HDAC1,7415,1,0.013
DAT,3173,1,0.032
HDAC6,6501,1,0.015
CSF1R,2598,1,0.038
PDE10A,5295,1,0.019
Cav3_2,772,0,0.0
D3,5894,0,0.0
CB1,7635,0,0.0
LRRK2,1570,0,0.0
KEAP1,387,0,0.0
HT7,2741,0,0.0
HT6,3979,0,0.0
GBA1,772,0,0.0
GluA2,234,0,0.0
GluN2B,1615,0,0.0
H3,4405,0,0.0
GABAA_a5,684,0,0.0
CGRP,806,0,0.0
BBB,7805,0,0.0
BChE,3386,0,0.0
Nav1_1,519,0,0.0
Nav1_5,1983,0,0.0
Nav1_7,6153,0,0.0
MT1,1020,0,0.0
OX1.chembl_only,5240,0,0.0
OPRM1,7086,0,0.0
OPRK1,5855,0,0.0
Nav1_8,567,0,0.0
Nav1_6,785,0,0.0
OX2.chembl_only,6227,0,0.0
RIPK1,3251,0,0.0
PDE4B,2044,0,0.0
SERT,4924,0,0.0
Sigma1,2905,0,0.0
a3b4nAChR,694,0,0.0
TAAR1,403,0,0.0
a4b2nAChR,1150,0,0.0
a7nAChR,1208,0,0.0
mGluR5,2902,0,0.0
mTOR,5222,0,0.0
