compound,smiles,section,endpoint,description,value,unit,context,role_in_the_example
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,BBB,Blood-brain barrier penetration,0.9907,calibrated probability,training base rate 0.635; enrichment +0.974,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,AChE,Acetylcholinesterase (Alzheimer's),1.0,calibrated probability,training base rate 0.724; enrichment +1.000,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,BChE,Butyrylcholinesterase (Alzheimer's),0.2552,calibrated probability,training base rate 0.704; enrichment -0.638,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,BACE1,Beta-secretase 1 / amyloid (Alzheimer's),0.5955,calibrated probability,training base rate 0.910; enrichment -0.346,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,GSK3B,GSK-3 beta / tau (Alzheimer's),0.1331,calibrated probability,training base rate 0.931; enrichment -0.857,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,MAO_A,Monoamine oxidase A (mood),0.0237,calibrated probability,training base rate 0.407; enrichment -0.942,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,MAO_B,Monoamine oxidase B (Parkinson's),0.0348,calibrated probability,training base rate 0.675; enrichment -0.948,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Target and property models,hERG,hERG cardiac-safety liability,0.7342,calibrated probability,training base rate 0.413; enrichment +0.547,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Receptor potency,D2,Dopamine D2 receptor,6.935,pKi / pIC50,50% of measured training actives are weaker,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Receptor potency,A2A,Adenosine A2A receptor,5.908,pKi / pIC50,5% of measured training actives are weaker,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Receptor potency,HT2A,Serotonin 5-HT2A receptor,6.414,pKi / pIC50,15% of measured training actives are weaker,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Receptor potency,SERT,Serotonin transporter,5.128,pKi / pIC50,3% of measured training actives are weaker,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,A1,A1,0.0044,calibrated probability,reporting threshold 0.808; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,A2A,A2A,0.0013,calibrated probability,reporting threshold 0.889; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,CB1,CB1,0.005,calibrated probability,reporting threshold 0.284; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,CGRP,CGRP receptor,0.0019,calibrated probability,reporting threshold 0.341; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,COX2,COX-2,0.0155,calibrated probability,reporting threshold 0.735; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,CSF1R,CSF1R,0.0015,calibrated probability,reporting threshold 0.847; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,Cav3_2,Cav3_2,0.0145,calibrated probability,reporting threshold 0.370; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,D2,D2,0.605,calibrated probability,reporting threshold 0.907; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,D3,D3,0.0235,calibrated probability,reporting threshold 0.972; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,DAT,DAT,0.0019,calibrated probability,reporting threshold 0.217; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,DHODH,DHODH,0.0057,calibrated probability,reporting threshold 0.175; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,GABA_A,GABA-A,0.0143,calibrated probability,reporting threshold 0.661; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,GBA1,GBA1,0.0271,calibrated probability,reporting threshold 0.187; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,GluN2B,NMDA GluN2B,0.0085,calibrated probability,reporting threshold 0.965; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,H3,H3,0.0089,calibrated probability,reporting threshold 0.612; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,HDAC1,HDAC1,0.0009,calibrated probability,reporting threshold 0.747; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,HDAC6,HDAC6,0.0025,calibrated probability,reporting threshold 0.834; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,HT1A,5-HT1A,0.0619,calibrated probability,reporting threshold 0.962; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,HT2A,5-HT2A,0.0133,calibrated probability,reporting threshold 0.902; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,HT6,5-HT6,0.0129,calibrated probability,reporting threshold 0.572; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,HT7,5-HT7,0.0572,calibrated probability,reporting threshold 0.847; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,KEAP1,KEAP1/Nrf2,0.0167,calibrated probability,reporting threshold 0.779; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,LRRK2,LRRK2,0.0022,calibrated probability,reporting threshold 0.391; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,MT1,melatonin MT1,0.003,calibrated probability,reporting threshold 0.951; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,NET,NET,0.0027,calibrated probability,reporting threshold 0.600; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,NLRP3,NLRP3,0.0119,calibrated probability,reporting threshold 0.364; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,Nav1_5,Nav1.5,0.0725,calibrated probability,reporting threshold 0.233; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,Nav1_6,Nav1.6,0.009,calibrated probability,reporting threshold 0.944; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,Nav1_7,Nav1.7,0.0044,calibrated probability,reporting threshold 0.843; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,Nav1_8,Nav1.8,0.0101,calibrated probability,reporting threshold 0.597; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,OPRK1,kappa-opioid,0.0251,calibrated probability,reporting threshold 0.917; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,OPRM1,mu-opioid,0.015,calibrated probability,reporting threshold 0.608; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,OX1,orexin OX1,0.0029,calibrated probability,reporting threshold 0.747; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,OX2,orexin OX2,0.003,calibrated probability,reporting threshold 0.677; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,P2X7,P2X7,0.0016,calibrated probability,reporting threshold 0.999; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,PDE10A,PDE10A,0.0007,calibrated probability,reporting threshold 0.872; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,PDE4B,PDE4B,0.0031,calibrated probability,reporting threshold 0.347; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,RIPK1,RIPK1,0.0026,calibrated probability,reporting threshold 0.050; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,SERT,SERT,0.0037,calibrated probability,reporting threshold 0.744; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,SIRT1,SIRT1,0.0907,calibrated probability,reporting threshold 0.469; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,Sigma1,Sigma-1,0.9948,calibrated probability,reporting threshold 0.953; engaged,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,TAAR1,TAAR1,0.7852,calibrated probability,reporting threshold 0.831; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,a3b4nAChR,alpha3beta4-nAChR,0.0086,calibrated probability,reporting threshold 0.279; below threshold,"approved AChE inhibitor, brain-penetrant"
donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Binder panel,a4b2nAChR,alpha4beta2-nAChR,0.0052,calibrated probability,reporting threshold 0.782; below threshold,"approved AChE inhibitor, brain-penetrant"
