group,mechanism,chembl_id,chembl_pref_name,activities_with_pchembl,n_documents_in_sample,n_assays_in_sample,largest_assay_share,dominant_assay,trainable,reason
ALS genetics,SOD1,CHEMBL2354,Superoxide dismutase [Cu-Zn],29,7,7,0.621,Inhibition of SOD1 G93A mutant aggregation-induced cytotoxicity in rat,False,below the 800-activity bar
ALS genetics,TDP-43 (TARDBP),CHEMBL2362981,TAR DNA-binding protein 43,9,2,3,0.444,Inhibition of TDP-43 (unknown origin) binding to RNA,False,below the 800-activity bar
ALS genetics,C9orf72,,,0,0,0,,,False,no matching human target in ChEMBL
Aggregation,tau (MAPT),CHEMBL1293224,Microtubule-associated protein tau,95345,1,4,0.858,PUBCHEM_BIOASSAY: Counterscreen qHTS for Inhibitors of Tau Fibril Form,False,"95,345 activities but 1 sources in a 1000-activity sample and 86% from one assay: a single campaign, not diverse chemistry"
Aggregation,huntingtin (HTT),CHEMBL5514,Huntingtin,19063,2,3,0.982,PUBCHEM_BIOASSAY: qHTS Multiplex Assay to Identify Dual Action Probes ,False,"19,063 activities but 2 sources in a 1000-activity sample and 98% from one assay: a single campaign, not diverse chemistry"
Aggregation,alpha-synuclein (SNCA),CHEMBL6152,Alpha-synuclein,535,40,61,0.168,In Vitro Inhibition Assay: α-Synucleinopathies are characterised by ag,False,below the 800-activity bar
Calcium channels,alpha2delta-1 (CACNA2D1),CHEMBL1919,Voltage-dependent calcium channel subunit alpha-2/delta-1,873,12,13,0.399,Binding Assay: α2δ-1: Binding Assay to Human α2δ-1 Subunit of Cav2.2 C,False,"873 activities but 12 sources in a 1000-activity sample and 40% from one assay: a single campaign, not diverse chemistry"
Calcium channels,T-type calcium channel,CHEMBL1859,Voltage-dependent T-type calcium channel subunit alpha-1H,848,30,41,0.283,Measurement of Calcium Channel Flux by Means of FLIPR Assay: Stock sol,True,
Calcium channels,Cav2.2 N-type (CACNA1B),CHEMBL4478,Voltage-dependent N-type calcium channel subunit alpha-1B,566,38,49,0.127,Inhibition of Cav2.2 in human SH-SY5Y cells assessed as inhibition of ,False,below the 800-activity bar
Calcium channels,Cav3.1 T-type (CACNA1G),CHEMBL2362995,Voltage-gated T-type calcium channel,1,1,1,1.0,Inhibition of Voltage-dependent T-type calcium channel (unknown origin,False,below the 800-activity bar
Control (deployed),SERT,CHEMBL228,Sodium-dependent serotonin transporter,7535,76,111,0.065,Displacement of [3H]citalopram from SERT,True,
Control (deployed),Nav1.1 (SCN1A),CHEMBL1845,Sodium channel protein type 1 subunit alpha,979,28,37,0.777,Sodium Influx Assay (In Vitro Assay): This sodium influx assay employs,False,"979 activities but 28 sources in a 1000-activity sample and 78% from one assay: a single campaign, not diverse chemistry"
GABA-A subtypes,GABA-A alpha5/beta3/gamma2,CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,861,41,58,0.148,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) ,True,
GABA-A subtypes,GABA-A alpha2/beta3/gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,663,39,48,0.169,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A,False,below the 800-activity bar
GABA-A subtypes,GABA-A alpha1/beta2/gamma2,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,374,48,65,0.086,Antagonist activity at human GABAA alpha-1-beta-2-gamma-2 receptor exp,False,below the 800-activity bar
Kainate receptors,GluK1 (GRIK1),CHEMBL1918,"Glutamate receptor ionotropic, kainate 1",244,22,34,0.193,Binding affinity against human ionotropic glutamate receptor kainate 1,False,below the 800-activity bar
Kainate receptors,GluK2 (GRIK2),CHEMBL3683,"Glutamate receptor ionotropic, kainate 2",139,17,27,0.302,Binding affinity against human ionotropic glutamate receptor ionotropi,False,below the 800-activity bar
