row_key,endpoint,panel,task,description,chembl_target_id,identifier_source_script,training_table,n_compounds,n_active_label1,n_inactive_label0,n_binder_pchembl_ge7,pchembl_min,pchembl_max,year_min,year_max,data_sources,label_rule,n_scaffolds,n_features,model_family,hyperparameters,cv_folds,roc_auc_random_mean,roc_auc_random_sd,roc_auc_scaffold_mean,roc_auc_scaffold_sd,spearman_scaffold_mean,model_file,calibrated_model_file,deployed,cv_detail_in,uniprot_accession,chembl_pref_name,dual_model_note
BBB [Core target/property classifier],BBB,Core target/property classifier,classification,Blood-brain barrier penetration,,,data/endpoints/BBB.csv,7807.0,4956.0,2851.0,,,,,,,measured dataset label; see data source,2439.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9605,0.0075,0.9197,0.0367,,models_rf/BBB.joblib,models_rf/BBB_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",,,
AChE [Core target/property classifier],AChE,Core target/property classifier,classification,Acetylcholinesterase (Alzheimer's),CHEMBL220,data/core_panel_target_ids.json,data/endpoints/AChE.csv,4387.0,3176.0,1211.0,1638.0,4.0,10.96,1986.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,2116.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9626,0.0083,0.9212,0.0206,,models_rf/AChE.joblib,models_rf/AChE_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P22303,Acetylcholinesterase,
BChE [Core target/property classifier],BChE,Core target/property classifier,classification,Butyrylcholinesterase (Alzheimer's),CHEMBL1914,data/core_panel_target_ids.json,data/endpoints/BChE.csv,2621.0,1846.0,775.0,989.0,4.0,10.67,1976.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,1345.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9684,0.0118,0.9372,0.0212,,models_rf/BChE.joblib,models_rf/BChE_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P06276,Cholinesterase,
BACE1 [Core target/property classifier],BACE1,Core target/property classifier,classification,Beta-secretase 1 / amyloid (Alzheimer's),CHEMBL4822,data/core_panel_target_ids.json,data/endpoints/BACE1.csv,8501.0,7739.0,762.0,5123.0,2.35,10.96,2001.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,3088.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9667,0.0099,0.9556,0.0209,,models_rf/BACE1.joblib,models_rf/BACE1_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P56817,Beta-secretase 1,
GSK3B [Core target/property classifier],GSK3B,Core target/property classifier,classification,GSK-3 beta / tau (Alzheimer's),CHEMBL262,data/core_panel_target_ids.json,data/endpoints/GSK3B.csv,4958.0,4617.0,341.0,2705.0,3.22,10.89,2000.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,2118.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9693,0.0128,0.9369,0.0302,,models_rf/GSK3B.joblib,models_rf/GSK3B_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P49841,Glycogen synthase kinase-3 beta,
MAO_A [Core target/property classifier],MAO_A,Core target/property classifier,classification,Monoamine oxidase A (mood),CHEMBL1951,data/core_panel_target_ids.json,data/endpoints/MAO_A.csv,2228.0,907.0,1321.0,405.0,3.51,10.85,1990.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,827.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9467,0.0169,0.8678,0.0464,,models_rf/MAO_A.joblib,models_rf/MAO_A_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P21397,Amine oxidase [flavin-containing] A,
MAO_B [Core target/property classifier],MAO_B,Core target/property classifier,classification,Monoamine oxidase B (Parkinson's),CHEMBL2039,data/core_panel_target_ids.json,data/endpoints/MAO_B.csv,3665.0,2474.0,1191.0,1137.0,3.4,10.15,1990.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,1196.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9545,0.0075,0.8895,0.033,,models_rf/MAO_B.joblib,models_rf/MAO_B_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P27338,Amine oxidase [flavin-containing] B,
hERG [Core target/property classifier],hERG,Core target/property classifier,classification,hERG cardiac-safety liability,CHEMBL240,data/core_panel_target_ids.json,data/endpoints/hERG.csv,5875.0,2428.0,3447.0,721.0,4.0,10.68,1995.0,2025.0,ChEMBL,active if pChEMBL >= 6; inactive if pChEMBL < 5; the 5 to 6 band is discarded as ambiguous. Binder models use a stricter positive definition of pChEMBL >= 7.,3377.0,1036,RandomForestClassifier,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": ""balanced""}",10,0.9541,0.0066,0.9208,0.0351,,models_rf/hERG.joblib,models_rf/hERG_calibrated.joblib,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",Q12809,Voltage-gated inwardly rectifying potassium channel KCNH2,
D2 [Receptor potency regressor],D2,Receptor potency regressor,regression,Dopamine D2 receptor,CHEMBL217,data/core_panel_target_ids.json,data/endpoints/D2.csv,7734.0,7468.0,266.0,3676.0,3.74,11.0,1987.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",continuous pChEMBL value; no thresholding,3329.0,1036,RandomForestRegressor,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",10,,,,,0.6919,models_rf/D2.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P14416,D(2) dopamine receptor,"D2 is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
A2A [Receptor potency regressor],A2A,Receptor potency regressor,regression,Adenosine A2A receptor,CHEMBL251,data/core_panel_target_ids.json,data/endpoints/A2A.csv,6785.0,6554.0,231.0,4352.0,3.39,11.42,1989.0,2025.0,"BindingDB, BindingDB+ChEMBL, ChEMBL",continuous pChEMBL value; no thresholding,2654.0,1036,RandomForestRegressor,"{""n_estimators"": 300, ""min_samples_leaf"": 2, ""n_jobs"": -1, ""random_state"": 42, ""class_weight"": null}",10,,,,,0.7515,models_rf/A2A.joblib,,True,"03_crossvalidation_summary.csv, 04_crossvalidation_per_fold.csv",P29274,Adenosine receptor A2a,"A2A is modelled twice: a potency regressor and a binder classifier, trained on the same ChEMBL target but with different labels and different purposes. Both are deployed."
