input_file,kind,rows,columns,feeds_endpoint,used_in_deployed_panel,produced_output,note
data/endpoints/A1.csv,training table,4007,"smiles, label, pchembl, year, source",A1,True,models_rf/A1.joblib or models_rf/A1_binder.joblib,
data/endpoints/A2A.csv,training table,6785,"smiles, label, pchembl, year, source",A2A,True,models_rf/A2A.joblib or models_rf/A2A_binder.joblib,
data/endpoints/a3b4nAChR.csv,training table,585,"smiles, label, pchembl, year, source",a3b4nAChR,True,models_rf/a3b4nAChR.joblib or models_rf/a3b4nAChR_binder.joblib,
data/endpoints/a4b2nAChR.csv,training table,942,"smiles, label, pchembl, year, source",a4b2nAChR,True,models_rf/a4b2nAChR.joblib or models_rf/a4b2nAChR_binder.joblib,
data/endpoints/a7nAChR.csv,training table,1004,"smiles, label, pchembl, year, source",a7nAChR,True,models_rf/a7nAChR.joblib or models_rf/a7nAChR_binder.joblib,
data/endpoints/AChE.csv,training table,4387,"smiles, label, pchembl, year, source",AChE,True,models_rf/AChE.joblib or models_rf/AChE_binder.joblib,
data/endpoints/BACE1.csv,training table,8501,"smiles, label, pchembl, year, source",BACE1,True,models_rf/BACE1.joblib or models_rf/BACE1_binder.joblib,
data/endpoints/BBB.csv,training table,7807,"smiles, label",BBB,True,models_rf/BBB.joblib or models_rf/BBB_binder.joblib,
data/endpoints/BChE.csv,training table,2621,"smiles, label, pchembl, year, source",BChE,True,models_rf/BChE.joblib or models_rf/BChE_binder.joblib,
data/endpoints/Cav3_2.csv,training table,666,"smiles, label, pchembl, year, source",Cav3_2,True,models_rf/Cav3_2.joblib or models_rf/Cav3_2_binder.joblib,
data/endpoints/CB1.csv,training table,4613,"smiles, label, pchembl, year, source",CB1,True,models_rf/CB1.joblib or models_rf/CB1_binder.joblib,
data/endpoints/CGRP.csv,training table,787,"smiles, label, pchembl, year, source",CGRP,True,models_rf/CGRP.joblib or models_rf/CGRP_binder.joblib,
data/endpoints/COX2.csv,training table,3185,"smiles, label, pchembl, year, source",COX2,True,models_rf/COX2.joblib or models_rf/COX2_binder.joblib,
data/endpoints/CSF1R.csv,training table,2432,"smiles, label, pchembl, year, source",CSF1R,True,models_rf/CSF1R.joblib or models_rf/CSF1R_binder.joblib,
data/endpoints/D2.csv,training table,7734,"smiles, label, pchembl, year, source",D2,True,models_rf/D2.joblib or models_rf/D2_binder.joblib,
data/endpoints/D3.csv,training table,5647,"smiles, label, pchembl, year, source",D3,True,models_rf/D3.joblib or models_rf/D3_binder.joblib,
data/endpoints/DAT.csv,training table,2692,"smiles, label, pchembl, year, source",DAT,True,models_rf/DAT.joblib or models_rf/DAT_binder.joblib,
data/endpoints/DHODH.csv,training table,1566,"smiles, label, pchembl, year, source",DHODH,True,models_rf/DHODH.joblib or models_rf/DHODH_binder.joblib,
data/endpoints/GABA_A.csv,training table,348,"smiles, label, pchembl, year, source",GABA_A,True,models_rf/GABA_A.joblib or models_rf/GABA_A_binder.joblib,
data/endpoints/GABAA_a5.csv,training table,676,"smiles, label, pchembl, year, source",,False,,fetched and audited but not deployed; see 09_PROVENANCE_AND_LIMITATIONS.md
data/endpoints/GBA1.csv,training table,554,"smiles, label, pchembl, year, source",GBA1,True,models_rf/GBA1.joblib or models_rf/GBA1_binder.joblib,
data/endpoints/GluA2.csv,training table,183,"smiles, label, pchembl, year, source",GluA2,True,models_rf/GluA2.joblib or models_rf/GluA2_binder.joblib,
data/endpoints/GluN2B.csv,training table,1580,"smiles, label, pchembl, year, source",GluN2B,True,models_rf/GluN2B.joblib or models_rf/GluN2B_binder.joblib,
data/endpoints/GSK3B.csv,training table,4958,"smiles, label, pchembl, year, source",GSK3B,True,models_rf/GSK3B.joblib or models_rf/GSK3B_binder.joblib,
data/endpoints/H3.csv,training table,4198,"smiles, label, pchembl, year, source",H3,True,models_rf/H3.joblib or models_rf/H3_binder.joblib,
data/endpoints/HDAC1.csv,training table,6367,"smiles, label, pchembl, year, source",HDAC1,True,models_rf/HDAC1.joblib or models_rf/HDAC1_binder.joblib,
data/endpoints/HDAC6.csv,training table,5612,"smiles, label, pchembl, year, source",HDAC6,True,models_rf/HDAC6.joblib or models_rf/HDAC6_binder.joblib,
data/endpoints/hERG.csv,training table,5875,"smiles, label, pchembl, year, source",hERG,True,models_rf/hERG.joblib or models_rf/hERG_binder.joblib,
data/endpoints/HT1A.csv,training table,5414,"smiles, label, pchembl, year, source",HT1A,True,models_rf/HT1A.joblib or models_rf/HT1A_binder.joblib,
data/endpoints/HT2A.csv,training table,5989,"smiles, label, pchembl, year, source",HT2A,True,models_rf/HT2A.joblib or models_rf/HT2A_binder.joblib,
data/endpoints/HT6.csv,training table,3823,"smiles, label, pchembl, year, source",HT6,True,models_rf/HT6.joblib or models_rf/HT6_binder.joblib,
data/endpoints/HT7.csv,training table,2556,"smiles, label, pchembl, year, source",HT7,True,models_rf/HT7.joblib or models_rf/HT7_binder.joblib,
data/endpoints/KEAP1.csv,training table,323,"smiles, label, pchembl, year, source",KEAP1,True,models_rf/KEAP1.joblib or models_rf/KEAP1_binder.joblib,
data/endpoints/LRRK2.csv,training table,1478,"smiles, label, pchembl, year, source",LRRK2,True,models_rf/LRRK2.joblib or models_rf/LRRK2_binder.joblib,
data/endpoints/MAO_A.csv,training table,2228,"smiles, label, pchembl, year, source",MAO_A,True,models_rf/MAO_A.joblib or models_rf/MAO_A_binder.joblib,
data/endpoints/MAO_B.csv,training table,3665,"smiles, label, pchembl, year, source",MAO_B,True,models_rf/MAO_B.joblib or models_rf/MAO_B_binder.joblib,
data/endpoints/mGluR5.csv,training table,2434,"smiles, label, pchembl, year, source",mGluR5,True,models_rf/mGluR5.joblib or models_rf/mGluR5_binder.joblib,
data/endpoints/MT1.csv,training table,969,"smiles, label, pchembl, year, source",MT1,True,models_rf/MT1.joblib or models_rf/MT1_binder.joblib,
data/endpoints/mTOR.csv,training table,4484,"smiles, label, pchembl, year, source",mTOR,True,models_rf/mTOR.joblib or models_rf/mTOR_binder.joblib,
data/endpoints/Nav1_1.csv,training table,425,"smiles, label, pchembl, year, source",Nav1_1,True,models_rf/Nav1_1.joblib or models_rf/Nav1_1_binder.joblib,
data/endpoints/Nav1_5.csv,training table,833,"smiles, label, pchembl, year, source",Nav1_5,True,models_rf/Nav1_5.joblib or models_rf/Nav1_5_binder.joblib,
data/endpoints/Nav1_6.csv,training table,726,"smiles, label, pchembl, year, source",Nav1_6,True,models_rf/Nav1_6.joblib or models_rf/Nav1_6_binder.joblib,
data/endpoints/Nav1_7.csv,training table,5752,"smiles, label, pchembl, year, source",Nav1_7,True,models_rf/Nav1_7.joblib or models_rf/Nav1_7_binder.joblib,
data/endpoints/Nav1_8.csv,training table,540,"smiles, label, pchembl, year, source",Nav1_8,True,models_rf/Nav1_8.joblib or models_rf/Nav1_8_binder.joblib,
data/endpoints/NET.csv,training table,3067,"smiles, label, pchembl, year, source",NET,True,models_rf/NET.joblib or models_rf/NET_binder.joblib,
data/endpoints/NLRP3.csv,training table,487,"smiles, label, pchembl, year, source",NLRP3,True,models_rf/NLRP3.joblib or models_rf/NLRP3_binder.joblib,
data/endpoints/OPRK1.csv,training table,5167,"smiles, label, pchembl, year, source",OPRK1,True,models_rf/OPRK1.joblib or models_rf/OPRK1_binder.joblib,
data/endpoints/OPRM1.csv,training table,6109,"smiles, label, pchembl, year, source",OPRM1,True,models_rf/OPRM1.joblib or models_rf/OPRM1_binder.joblib,
data/endpoints/OX1.chembl_only.csv,training table,5240,"smiles, label, pchembl, year, source",,False,,fetched and audited but not deployed; see 09_PROVENANCE_AND_LIMITATIONS.md
data/endpoints/OX1.csv,training table,5273,"smiles, label, pchembl, year, source",OX1,True,models_rf/OX1.joblib or models_rf/OX1_binder.joblib,
data/endpoints/OX2.chembl_only.csv,training table,6227,"smiles, label, pchembl, year, source",,False,,fetched and audited but not deployed; see 09_PROVENANCE_AND_LIMITATIONS.md
data/endpoints/OX2.csv,training table,6231,"smiles, label, pchembl, year, source",OX2,True,models_rf/OX2.joblib or models_rf/OX2_binder.joblib,
data/endpoints/P2X7.csv,training table,4401,"smiles, label, pchembl, year, source",P2X7,True,models_rf/P2X7.joblib or models_rf/P2X7_binder.joblib,
data/endpoints/PDE10A.csv,training table,5112,"smiles, label, pchembl, year, source",PDE10A,True,models_rf/PDE10A.joblib or models_rf/PDE10A_binder.joblib,
data/endpoints/PDE4B.csv,training table,1938,"smiles, label, pchembl, year, source",PDE4B,True,models_rf/PDE4B.joblib or models_rf/PDE4B_binder.joblib,
data/endpoints/RIPK1.csv,training table,3068,"smiles, label, pchembl, year, source",RIPK1,True,models_rf/RIPK1.joblib or models_rf/RIPK1_binder.joblib,
data/endpoints/SERT.csv,training table,4572,"smiles, label, pchembl, year, source",SERT,True,models_rf/SERT.joblib or models_rf/SERT_binder.joblib,
data/endpoints/Sigma1.csv,training table,2838,"smiles, label, pchembl, year, source",Sigma1,True,models_rf/Sigma1.joblib or models_rf/Sigma1_binder.joblib,
data/endpoints/SIRT1.csv,training table,515,"smiles, label, pchembl, year, source",SIRT1,True,models_rf/SIRT1.joblib or models_rf/SIRT1_binder.joblib,
data/endpoints/TAAR1.csv,training table,303,"smiles, label, pchembl, year, source",TAAR1,True,models_rf/TAAR1.joblib or models_rf/TAAR1_binder.joblib,
results/tables/adme_cv_folds.csv,validation output,180,"endpoint, task, split, fold, n_train, n_test, roc_auc, pr_auc, mcc, f1",,,manuscript table or figure,
results/tables/adme_cv_summary.csv,validation output,18,"endpoint, task, split, n, roc_auc_mean, roc_auc_sd, pr_auc_mean, pr_auc_sd, mcc_mean, mcc_sd",,,manuscript table or figure,
results/tables/applicability_bbb_validation.csv,validation output,3,"subset, n, mean_max_tanimoto, auroc, accuracy",,,manuscript table or figure,
results/tables/applicability_coverage.csv,validation output,8,"endpoint, n_drugbank, in_domain_frac, median_max_tanimoto",,,manuscript table or figure,
results/tables/background_specificity.csv,validation output,47,"target, old_threshold, background_fpr_before, new_threshold, background_fpr_after, sensitivity_after, reliable",,,manuscript table or figure,
results/tables/binder_vs_measured_inactives.csv,validation output,47,"target, n_positive, n_measured_inactive_holdout, scaffold_cv_auroc, auroc_vs_measured_inactives, threshold, fpr_at_threshold, sensitivity_at_threshold, threshold_basis, reliable_call",,,manuscript table or figure,
results/tables/bindingdb_yield.csv,validation output,11,"endpoint, current_chembl_compounds, bindingdb_labelled, net_new_compounds, net_new_active, net_new_inactive, combined_total",,,manuscript table or figure,
results/tables/calibration.csv,validation output,8,"endpoint, brier_raw, brier_calibrated, ece_raw, ece_calibrated",,,manuscript table or figure,
results/tables/cns_exposure_demo.csv,validation output,5,"compound, kpuu_pred, bbb_prob, logBB_total, caco2_logPapp, logD, percent_bound, free_fraction, pgp_substrate_prob, free_brain_exposure",,,manuscript table or figure,
results/tables/drugbank_screen_summary.csv,validation output,8,"endpoint, n_scored, predicted_active, predicted_active_frac, median_probability",,,manuscript table or figure,
results/tables/endpoint_rebuild_provenance.csv,validation output,12,"endpoint, chembl_only, bindingdb_only, both, total, active, inactive",,,manuscript table or figure,
results/tables/expansion_audit.csv,validation output,26,"endpoint, task, split, n_baseline, n_pooled, n_added, metric, baseline, pooled, delta",,,manuscript table or figure,
results/tables/external_100_predictions.csv,validation output,15,"compound, expected_class, smiles, predicted_top1, predicted_top1_score, predicted_top3, hit_top1, hit_top3, bbb, kpuu",,,manuscript table or figure,
results/tables/external_100_summary.csv,validation output,12,"metric, k, n, estimate, ci95_low, ci95_high, note",,,manuscript table or figure,
results/tables/external_bbb_validation.csv,validation output,1,"set, n, n_permeable, auroc, accuracy, balanced_accuracy, sensitivity, specificity",,,manuscript table or figure,
results/tables/feature_block_ablation.csv,validation output,39,"endpoint, task, block, metric, mean, sd",,,manuscript table or figure,
results/tables/feature_descriptor_importance.csv,validation output,156,"endpoint, descriptor, importance_mean, importance_sd, informative",,,manuscript table or figure,
results/tables/final_thresholds.csv,validation output,41,"target, threshold, from_measured_inactives, from_background, binding_constraint, background_fpr, sensitivity, reliable",,,manuscript table or figure,
results/tables/inactives_audit.csv,validation output,3,"endpoint, added_inactives, median_sim_to_active, frac_similar_ge_0.5, auroc_before, auroc_after, mcc_before, mcc_after, verdict",,,manuscript table or figure,
results/tables/inactives_merge_provenance.csv,validation output,7,"endpoint, active, inactive, added_inactive, active_frac_before, active_frac_after",,,manuscript table or figure,
results/tables/integrity_audit.csv,validation output,12,"section, metric, value, note",,,manuscript table or figure,
results/tables/integrity_calibration_per_target.csv,validation output,32,"endpoint, ece, brier",,,manuscript table or figure,
results/tables/inversion_validation.csv,validation output,6,"check, result, detail",,,manuscript table or figure,
results/tables/learning_curve.csv,validation output,20,"endpoint, task, train_fraction, n_train, n_test, metric, score",,,manuscript table or figure,
results/tables/library_summary.csv,validation output,18,"metric, value",,,manuscript table or figure,
results/tables/manuscript_T1_endpoints.csv,validation output,26,"endpoint, task, split, n_compounds, n_scaffolds, n_folds, median_train_per_fold, median_test_per_fold, positive_rate, roc_auc_mean",,,manuscript table or figure,
results/tables/manuscript_T2_per_fold.csv,validation output,260,"endpoint, task, split, fold, n_test, n_train, n_scaffolds_test, positives_test, roc_auc, pr_auc",,,manuscript table or figure,
results/tables/manuscript_T3_variance.csv,validation output,13,"endpoint, task, n_compounds, n_scaffolds, scaffold_diversity, random_mean, random_sd, scaffold_mean, scaffold_sd, sd_ratio",,,manuscript table or figure,
