index,feature,block,type,description,unit
0,ecfp4_0,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
1,ecfp4_1,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
2,ecfp4_2,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
3,ecfp4_3,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
4,ecfp4_4,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
5,ecfp4_5,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
6,ecfp4_6,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
7,ecfp4_7,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
8,ecfp4_8,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
9,ecfp4_9,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
10,ecfp4_10,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
11,ecfp4_11,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
12,ecfp4_12,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
13,ecfp4_13,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
14,ecfp4_14,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
15,ecfp4_15,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
16,ecfp4_16,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
17,ecfp4_17,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
18,ecfp4_18,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
19,ecfp4_19,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
20,ecfp4_20,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
21,ecfp4_21,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
22,ecfp4_22,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
23,ecfp4_23,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
24,ecfp4_24,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
25,ecfp4_25,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
26,ecfp4_26,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
27,ecfp4_27,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
28,ecfp4_28,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
29,ecfp4_29,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
30,ecfp4_30,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
31,ecfp4_31,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
32,ecfp4_32,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
33,ecfp4_33,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
34,ecfp4_34,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
35,ecfp4_35,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
36,ecfp4_36,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
37,ecfp4_37,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
38,ecfp4_38,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
39,ecfp4_39,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
40,ecfp4_40,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
41,ecfp4_41,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
42,ecfp4_42,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
43,ecfp4_43,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
44,ecfp4_44,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
45,ecfp4_45,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
46,ecfp4_46,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
47,ecfp4_47,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
48,ecfp4_48,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
49,ecfp4_49,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
50,ecfp4_50,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
51,ecfp4_51,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
52,ecfp4_52,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
53,ecfp4_53,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
54,ecfp4_54,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
55,ecfp4_55,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
56,ecfp4_56,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
57,ecfp4_57,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
58,ecfp4_58,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
59,ecfp4_59,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
60,ecfp4_60,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
61,ecfp4_61,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
62,ecfp4_62,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
63,ecfp4_63,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
64,ecfp4_64,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
65,ecfp4_65,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
66,ecfp4_66,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
67,ecfp4_67,ECFP-4 fingerprint,binary,"Morgan circular fingerprint bit, radius 2, folded to 1024 bits; presence of a hashed substructural environment",0 or 1
