model_file,size_bytes,endpoint,role,n_features,deployed,decision_threshold,threshold_basis,sensitivity_at_threshold,fpr_on_measured_inactives,background_fpr_at_threshold,high_precision_threshold,withdrawn_reason
models_rf/A1_binder.joblib,4367804,A1,binder classifier,1036,True,0.9735,measured_inactives_and_background,0.865,0.1,0.0243,0.9969,
models_rf/A2A.joblib,22879960,A2A,base model,1036,True,0.9837,measured_inactives_and_background,0.915,0.103,0.033,0.9992,
models_rf/A2A_binder.joblib,7226804,A2A,binder classifier,1036,True,0.9837,measured_inactives_and_background,0.915,0.103,0.033,0.9992,
models_rf/a3b4nAChR_binder.joblib,572930,a3b4nAChR,binder classifier,1036,True,0.45,random_chemistry_specificity,0.975,0.053,0.015,0.45,
models_rf/a4b2nAChR_binder.joblib,1171612,a4b2nAChR,binder classifier,1036,True,0.9406,held_out_measured_inactives,0.849,0.11,0.0013,,
models_rf/a7nAChR_binder.joblib,980295,a7nAChR,binder classifier,1036,True,0.6262,measured_inactives_and_background,0.935,0.11,0.0077,0.6262,
models_rf/AChE.joblib,6583741,AChE,base model,1036,True,,,,,,,
models_rf/AChE_calibrated.joblib,27442698,AChE,calibrated classifier,1036,True,,,,,,,
models_rf/adme/caco2_permeability.joblib,3486136,caco2_permeability,ADME model,1036,True,,,,,,,
models_rf/adme/clearance_hepatocyte.joblib,3468392,clearance_hepatocyte,ADME model,1036,True,,,,,,,
models_rf/adme/kpuu.joblib,2242377,kpuu,ADME model,1036,True,,,,,,,
models_rf/adme/lipophilicity.joblib,13949023,lipophilicity,ADME model,1036,True,,,,,,,
models_rf/adme/logbb.joblib,3666431,logbb,ADME model,1036,True,,,,,,,
models_rf/adme/pgp_inhibition.joblib,2009157,pgp_inhibition,ADME model,1036,True,,,,,,,
models_rf/adme/pgp_substrate.joblib,3061673,pgp_substrate,ADME model,1036,True,,,,,,,
models_rf/adme/plasma_protein_binding.joblib,6640006,plasma_protein_binding,ADME model,1036,True,,,,,,,
models_rf/adme/solubility.joblib,37082756,solubility,ADME model,1036,True,,,,,,,
models_rf/antioxidant_DPPH.joblib,11719747,antioxidant_DPPH,base model,1036,True,,,,,,,
models_rf/BACE1.joblib,7275249,BACE1,base model,1036,True,,,,,,,
models_rf/BACE1_calibrated.joblib,28039735,BACE1,calibrated classifier,1036,True,,,,,,,
models_rf/BBB.joblib,10875437,BBB,base model,1036,True,,,,,,,
models_rf/BBB_calibrated.joblib,44261695,BBB,calibrated classifier,1036,True,,,,,,,
models_rf/BChE.joblib,3839380,BChE,base model,1036,True,,,,,,,
models_rf/BChE_calibrated.joblib,16005318,BChE,calibrated classifier,1036,True,,,,,,,
models_rf/Cav3_2_binder.joblib,682086,Cav3_2,binder classifier,1036,False,0.0648,held_out_measured_inactives,0.997,0.118,0.05,,"active band compressed near zero, calibrated threshold 0.065, atenolol scores 0.084"
models_rf/CB1_binder.joblib,5306619,CB1,binder classifier,1036,True,0.9396,measured_inactives_and_background,0.932,0.105,0.0243,0.9995,
models_rf/CGRP_binder.joblib,749876,CGRP,binder classifier,1036,True,0.4,global_fallback,1.0,,0.0013,,
models_rf/COX2_binder.joblib,3106808,COX2,binder classifier,1036,True,0.9087,measured_inactives_and_background,0.752,0.101,0.0087,0.9087,
models_rf/CSF1R_binder.joblib,3422825,CSF1R,binder classifier,1036,True,0.3784,measured_inactives_and_background,0.985,0.111,0.0317,0.9901,
models_rf/D2.joblib,27427144,D2,base model,1036,True,0.9808,measured_inactives_and_background,0.827,0.105,0.045,0.9981,
models_rf/D2_binder.joblib,7503306,D2,binder classifier,1036,True,0.9808,measured_inactives_and_background,0.827,0.105,0.045,0.9981,
models_rf/D3_binder.joblib,6866209,D3,binder classifier,1036,True,0.9855,measured_inactives_and_background,0.908,0.108,0.05,0.9995,
models_rf/DAT_binder.joblib,3028545,DAT,binder classifier,1036,True,0.4649,measured_inactives_and_background,0.985,0.103,0.0273,0.992,
models_rf/DHODH_binder.joblib,1867215,DHODH,binder classifier,1036,True,0.9928,held_out_measured_inactives,0.673,0.11,0.0,,
models_rf/GABA_A_binder.joblib,642041,GABA_A,binder classifier,1036,True,0.2507,measured_inactives_and_background,0.985,,0.024,0.4281,
models_rf/GBA1_binder.joblib,315404,GBA1,binder classifier,1036,True,0.4987,measured_inactives_and_background,0.925,0.107,0.0007,0.4987,
models_rf/GluA2_binder.joblib,150576,GluA2,binder classifier,1036,True,0.7893,measured_inactives_and_background,0.66,0.116,0.05,0.8501,
models_rf/GluN2B_binder.joblib,1501922,GluN2B,binder classifier,1036,True,0.999,measured_inactives_and_background,0.848,0.25,0.0067,0.999,
models_rf/GSK3B.joblib,3772305,GSK3B,base model,1036,True,,,,,,,
models_rf/GSK3B_calibrated.joblib,14283162,GSK3B,calibrated classifier,1036,True,,,,,,,
models_rf/H3_binder.joblib,6009293,H3,binder classifier,1036,True,0.8628,measured_inactives_and_background,0.971,0.102,0.035,0.9995,
models_rf/HDAC1_binder.joblib,4128931,HDAC1,binder classifier,1036,True,0.9541,measured_inactives_and_background,0.928,0.105,0.035,0.9929,
models_rf/HDAC6_binder.joblib,4029467,HDAC6,binder classifier,1036,True,0.9824,measured_inactives_and_background,0.912,0.106,0.035,0.995,
models_rf/hERG.joblib,10826515,hERG,base model,1036,True,,,,,,,
models_rf/hERG_calibrated.joblib,42262631,hERG,calibrated classifier,1036,True,,,,,,,
models_rf/HT1A_binder.joblib,7030634,HT1A,binder classifier,1036,True,0.9623,measured_inactives_and_background,0.922,0.103,0.05,0.9992,
models_rf/HT2A.joblib,20756236,HT2A,base model,1036,True,0.9826,measured_inactives_and_background,0.85,0.122,0.0423,0.9993,
models_rf/HT2A_binder.joblib,8500977,HT2A,binder classifier,1036,True,0.9826,measured_inactives_and_background,0.85,0.122,0.0423,0.9993,
models_rf/HT6_binder.joblib,4802561,HT6,binder classifier,1036,True,0.9626,measured_inactives_and_background,0.931,0.103,0.0233,0.9988,
models_rf/HT7_binder.joblib,3309906,HT7,binder classifier,1036,True,0.7966,measured_inactives_and_background,0.953,0.103,0.05,0.9958,
models_rf/KEAP1_binder.joblib,335677,KEAP1,binder classifier,1036,True,0.7607,measured_inactives_and_background,0.828,0.111,0.005,0.7607,
models_rf/LRRK2_binder.joblib,2204795,LRRK2,binder classifier,1036,True,0.8723,measured_inactives_and_background,0.974,,0.0093,0.8723,
models_rf/MAO_A.joblib,4619288,MAO_A,base model,1036,True,,,,,,,
models_rf/MAO_A_calibrated.joblib,17923103,MAO_A,calibrated classifier,1036,True,,,,,,,
models_rf/MAO_B.joblib,6572895,MAO_B,base model,1036,True,,,,,,,
models_rf/MAO_B_calibrated.joblib,26103317,MAO_B,calibrated classifier,1036,True,,,,,,,
models_rf/mGluR5_binder.joblib,2269853,mGluR5,binder classifier,1036,True,0.9957,measured_inactives_and_background,0.71,0.1,0.0063,0.9957,
models_rf/MT1_binder.joblib,1305818,MT1,binder classifier,1036,True,0.9896,measured_inactives_and_background,0.732,0.133,0.0037,0.9896,
