endpoint,label,training_mode,n_positive_pchembl_ge7,n_property_matched_decoys,n_measured_inactive_train,n_measured_inactive_holdout,scaffold_cv_auroc,auroc_vs_measured_inactives,decision_threshold,threshold_basis,sensitivity_at_threshold,holdout_train_actives,holdout_actives,holdout_scaffolds,holdout_recall_at_threshold,deployed,withdrawn_reason
A1,A1,hybrid_decoys_plus_measured_inactives,1943,5720.0,109,110.0,0.995,0.954,0.9735,measured_inactives_and_background,0.865,1514.0,429.0,177.0,0.769,True,
A2A,A2A,hybrid_decoys_plus_measured_inactives,4352,12941.0,115,116.0,0.998,0.96,0.9837,measured_inactives_and_background,0.915,3428.0,924.0,364.0,0.777,True,
CB1,CB1,hybrid_decoys_plus_measured_inactives,2680,7936.0,104,105.0,0.993,0.965,0.9396,measured_inactives_and_background,0.932,2201.0,479.0,200.0,0.827,True,
CGRP,CGRP receptor,hybrid_decoys_plus_measured_inactives,599,1784.0,13,13.0,1.0,,0.4,global_fallback,1.0,457.0,142.0,52.0,1.0,True,
COX2,COX-2,hybrid_decoys_plus_measured_inactives,1182,3200.0,346,347.0,0.966,0.923,0.9087,measured_inactives_and_background,0.752,918.0,264.0,67.0,0.587,True,
CSF1R,CSF1R,hybrid_decoys_plus_measured_inactives,1784,5334.0,18,18.0,0.996,0.993,0.3784,measured_inactives_and_background,0.985,1543.0,241.0,152.0,0.846,True,
Cav3_2,Cav3_2,hybrid_decoys_plus_measured_inactives,351,1037.0,16,17.0,0.999,1.0,0.0648,held_out_measured_inactives,0.997,,,,,False,"active band compressed near zero, calibrated threshold 0.065, atenolol scores 0.084"
D2,D2,hybrid_decoys_plus_measured_inactives,3676,10895.0,133,133.0,0.994,0.938,0.9808,measured_inactives_and_background,0.827,2880.0,796.0,341.0,0.58,True,
D3,D3,hybrid_decoys_plus_measured_inactives,4127,12289.0,92,93.0,0.997,0.978,0.9855,measured_inactives_and_background,0.908,3337.0,790.0,351.0,0.846,True,
DAT,DAT,hybrid_decoys_plus_measured_inactives,1337,3855.0,156,156.0,0.992,0.986,0.4649,measured_inactives_and_background,0.985,1130.0,207.0,93.0,0.903,True,
DHODH,DHODH,hybrid_decoys_plus_measured_inactives,963,2817.0,72,73.0,0.992,0.918,0.9928,held_out_measured_inactives,0.673,751.0,212.0,47.0,0.84,True,
GABA_A,GABA-A,hybrid_decoys_plus_measured_inactives,201,592.0,11,11.0,0.939,,0.2507,measured_inactives_and_background,0.985,184.0,17.0,16.0,0.765,True,
GBA1,GBA1,hybrid_decoys_plus_measured_inactives,120,229.0,131,131.0,0.938,0.973,0.4987,measured_inactives_and_background,0.925,,,,,True,
GluA2,AMPA GluA2,measured_labels_holdout,97,,43,,0.721,0.863,0.7893,measured_inactives_and_background,0.66,74.0,23.0,9.0,0.217,True,
GluN2B,NMDA GluN2B,hybrid_decoys_plus_measured_inactives,904,2696.0,16,16.0,0.996,0.904,0.999,measured_inactives_and_background,0.848,652.0,252.0,35.0,0.619,True,
H3,H3,hybrid_decoys_plus_measured_inactives,3212,9548.0,88,88.0,0.996,0.99,0.8628,measured_inactives_and_background,0.971,2615.0,597.0,308.0,0.926,True,
HDAC1,HDAC1,hybrid_decoys_plus_measured_inactives,3055,8880.0,285,286.0,0.998,0.958,0.9541,measured_inactives_and_background,0.928,2414.0,641.0,292.0,0.836,True,
