index,column,block,dtype,definition,computed_on,note
0,ecfp4_0,fingerprint,float32 (0.0 or 1.0),"bit 0 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
1,ecfp4_1,fingerprint,float32 (0.0 or 1.0),"bit 1 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
2,ecfp4_2,fingerprint,float32 (0.0 or 1.0),"bit 2 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
3,ecfp4_3,fingerprint,float32 (0.0 or 1.0),"bit 3 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
4,ecfp4_4,fingerprint,float32 (0.0 or 1.0),"bit 4 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
5,ecfp4_5,fingerprint,float32 (0.0 or 1.0),"bit 5 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
6,ecfp4_6,fingerprint,float32 (0.0 or 1.0),"bit 6 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
7,ecfp4_7,fingerprint,float32 (0.0 or 1.0),"bit 7 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
8,ecfp4_8,fingerprint,float32 (0.0 or 1.0),"bit 8 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
9,ecfp4_9,fingerprint,float32 (0.0 or 1.0),"bit 9 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
10,ecfp4_10,fingerprint,float32 (0.0 or 1.0),"bit 10 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
11,ecfp4_11,fingerprint,float32 (0.0 or 1.0),"bit 11 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
12,ecfp4_12,fingerprint,float32 (0.0 or 1.0),"bit 12 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
13,ecfp4_13,fingerprint,float32 (0.0 or 1.0),"bit 13 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
14,ecfp4_14,fingerprint,float32 (0.0 or 1.0),"bit 14 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
15,ecfp4_15,fingerprint,float32 (0.0 or 1.0),"bit 15 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
16,ecfp4_16,fingerprint,float32 (0.0 or 1.0),"bit 16 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
17,ecfp4_17,fingerprint,float32 (0.0 or 1.0),"bit 17 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
18,ecfp4_18,fingerprint,float32 (0.0 or 1.0),"bit 18 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
19,ecfp4_19,fingerprint,float32 (0.0 or 1.0),"bit 19 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
20,ecfp4_20,fingerprint,float32 (0.0 or 1.0),"bit 20 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
21,ecfp4_21,fingerprint,float32 (0.0 or 1.0),"bit 21 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
22,ecfp4_22,fingerprint,float32 (0.0 or 1.0),"bit 22 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
23,ecfp4_23,fingerprint,float32 (0.0 or 1.0),"bit 23 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
24,ecfp4_24,fingerprint,float32 (0.0 or 1.0),"bit 24 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
25,ecfp4_25,fingerprint,float32 (0.0 or 1.0),"bit 25 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
26,ecfp4_26,fingerprint,float32 (0.0 or 1.0),"bit 26 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
27,ecfp4_27,fingerprint,float32 (0.0 or 1.0),"bit 27 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
28,ecfp4_28,fingerprint,float32 (0.0 or 1.0),"bit 28 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
29,ecfp4_29,fingerprint,float32 (0.0 or 1.0),"bit 29 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
30,ecfp4_30,fingerprint,float32 (0.0 or 1.0),"bit 30 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
31,ecfp4_31,fingerprint,float32 (0.0 or 1.0),"bit 31 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
32,ecfp4_32,fingerprint,float32 (0.0 or 1.0),"bit 32 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
33,ecfp4_33,fingerprint,float32 (0.0 or 1.0),"bit 33 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
34,ecfp4_34,fingerprint,float32 (0.0 or 1.0),"bit 34 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
35,ecfp4_35,fingerprint,float32 (0.0 or 1.0),"bit 35 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
36,ecfp4_36,fingerprint,float32 (0.0 or 1.0),"bit 36 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
37,ecfp4_37,fingerprint,float32 (0.0 or 1.0),"bit 37 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
38,ecfp4_38,fingerprint,float32 (0.0 or 1.0),"bit 38 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
39,ecfp4_39,fingerprint,float32 (0.0 or 1.0),"bit 39 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
40,ecfp4_40,fingerprint,float32 (0.0 or 1.0),"bit 40 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
41,ecfp4_41,fingerprint,float32 (0.0 or 1.0),"bit 41 of a folded Morgan/ECFP-4 fingerprint, radius 2, 1024 bits, chirality NOT included","largest organic fragment after salt stripping, sanitised","folded, so several substructure environments share a bit; bit identity is not a unique substructure"
