endpoint,source_file,rows,measure,active,inactive,rows_sharing_a_parent_inchikey
A1,data/endpoints/A1.csv,4500,label (1 active / 0 inactive) + pchembl potency,3780.0,720.0,8.0
A2A,data/endpoints/A2A.csv,7001,label (1 active / 0 inactive) + pchembl potency,6190.0,811.0,0.0
a3b4nAChR,data/endpoints/a3b4nAChR.csv,693,label (1 active / 0 inactive) + pchembl potency,397.0,296.0,1.0
a4b2nAChR,data/endpoints/a4b2nAChR.csv,1149,label (1 active / 0 inactive) + pchembl potency,795.0,354.0,1.0
a7nAChR,data/endpoints/a7nAChR.csv,1204,label (1 active / 0 inactive) + pchembl potency,819.0,385.0,4.0
AChE,data/endpoints/AChE.csv,5318,label (1 active / 0 inactive) + pchembl potency,3169.0,2149.0,0.0
BACE1,data/endpoints/BACE1.csv,8962,label (1 active / 0 inactive) + pchembl potency,7726.0,1236.0,0.0
BBB,data/endpoints/BBB.csv,7802,label (1 active / 0 inactive),4955.0,2847.0,3.0
BChE,data/endpoints/BChE.csv,3386,label (1 active / 0 inactive) + pchembl potency,1840.0,1546.0,0.0
Cav3_2,data/endpoints/Cav3_2.csv,771,label (1 active / 0 inactive) + pchembl potency,633.0,138.0,1.0
CB1,data/endpoints/CB1.csv,7624,label (1 active / 0 inactive) + pchembl potency,4393.0,3231.0,11.0
CGRP,data/endpoints/CGRP.csv,806,label (1 active / 0 inactive) + pchembl potency,761.0,45.0,0.0
COX2,data/endpoints/COX2.csv,4031,label (1 active / 0 inactive) + pchembl potency,2492.0,1539.0,0.0
CSF1R,data/endpoints/CSF1R.csv,2575,label (1 active / 0 inactive) + pchembl potency,2373.0,202.0,23.0
D2,data/endpoints/D2.csv,8548,label (1 active / 0 inactive) + pchembl potency,7405.0,1143.0,0.0
D3,data/endpoints/D3.csv,5867,label (1 active / 0 inactive) + pchembl potency,5435.0,432.0,27.0
DAT,data/endpoints/DAT.csv,3157,label (1 active / 0 inactive) + pchembl potency,2364.0,793.0,16.0
DHODH,data/endpoints/DHODH.csv,2079,label (1 active / 0 inactive) + pchembl potency,1421.0,658.0,0.0
GABA_A,data/endpoints/GABA_A.csv,399,label (1 active / 0 inactive) + pchembl potency,326.0,73.0,0.0
GABAA_a5,data/endpoints/GABAA_a5.csv,684,label (1 active / 0 inactive) + pchembl potency,672.0,12.0,0.0
GBA1,data/endpoints/GBA1.csv,770,label (1 active / 0 inactive) + pchembl potency,291.0,479.0,2.0
GluA2,data/endpoints/GluA2.csv,234,label (1 active / 0 inactive) + pchembl potency,97.0,137.0,0.0
GluN2B,data/endpoints/GluN2B.csv,1615,label (1 active / 0 inactive) + pchembl potency,1548.0,67.0,0.0
GSK3B,data/endpoints/GSK3B.csv,5640,label (1 active / 0 inactive) + pchembl potency,4232.0,1408.0,0.0
H3,data/endpoints/H3.csv,4360,label (1 active / 0 inactive) + pchembl potency,3977.0,383.0,45.0
HDAC1,data/endpoints/HDAC1.csv,7409,label (1 active / 0 inactive) + pchembl potency,5791.0,1618.0,6.0
HDAC6,data/endpoints/HDAC6.csv,6491,label (1 active / 0 inactive) + pchembl potency,5356.0,1135.0,10.0
hERG,data/endpoints/hERG.csv,10276,label (1 active / 0 inactive) + pchembl potency,2428.0,7848.0,0.0
HT1A,data/endpoints/HT1A.csv,5708,label (1 active / 0 inactive) + pchembl potency,5186.0,522.0,34.0
HT2A,data/endpoints/HT2A.csv,6393,label (1 active / 0 inactive) + pchembl potency,5755.0,638.0,0.0
