endpoint,descriptor,importance_mean,importance_sd,informative
BBB,mw,0.00139,0.00049,True
BBB,clogp,0.00192,0.00048,True
BBB,tpsa,0.00731,0.00114,True
BBB,hbd,0.00228,0.00061,True
BBB,hba,0.00074,0.00077,False
BBB,rotatable_bonds,0.00058,0.00039,False
BBB,aromatic_rings,-0.0,0.00016,False
BBB,fraction_csp3,-0.00013,0.00029,False
BBB,ring_count,0.00013,0.00023,False
BBB,heavy_atoms,0.00119,0.00044,True
BBB,formal_charge,0.00083,9e-05,True
BBB,qed,0.00339,0.00083,True
AChE,mw,0.00039,0.00033,False
AChE,clogp,0.00198,0.00058,True
AChE,tpsa,0.00101,0.00028,True
AChE,hbd,0.00109,0.00025,True
AChE,hba,-0.00021,0.00032,False
AChE,rotatable_bonds,0.00033,0.00075,False
AChE,aromatic_rings,0.00025,0.00036,False
AChE,fraction_csp3,0.00128,0.00045,True
AChE,ring_count,0.00045,0.00023,False
AChE,heavy_atoms,-7e-05,0.00041,False
AChE,formal_charge,0.00027,0.00013,True
AChE,qed,0.00045,0.0004,False
BChE,mw,0.00144,0.00045,True
BChE,clogp,0.00385,0.00085,True
BChE,tpsa,0.00087,0.00019,True
BChE,hbd,0.00073,0.00025,True
BChE,hba,0.00069,0.0003,True
BChE,rotatable_bonds,0.00039,0.00024,False
BChE,aromatic_rings,0.00048,0.00033,False
BChE,fraction_csp3,0.00107,0.00034,True
BChE,ring_count,0.00118,0.00015,True
BChE,heavy_atoms,0.00158,0.00054,True
BChE,formal_charge,-6e-05,7e-05,False
BChE,qed,0.00083,0.00014,True
BACE1,mw,0.00061,0.00043,False
BACE1,clogp,0.0001,0.00034,False
BACE1,tpsa,0.00033,0.00056,False
BACE1,hbd,0.00051,0.00015,True
BACE1,hba,-9e-05,0.00038,False
BACE1,rotatable_bonds,0.00042,0.0003,False
BACE1,aromatic_rings,0.00014,0.00048,False
BACE1,fraction_csp3,0.00035,0.00073,False
BACE1,ring_count,0.00046,0.00019,True
BACE1,heavy_atoms,0.00059,0.00028,True
BACE1,formal_charge,0.0,0.0,False
BACE1,qed,-0.00022,0.00055,False
GSK3B,mw,0.00345,0.00114,True
GSK3B,clogp,0.00113,0.00073,False
GSK3B,tpsa,0.00089,0.00036,True
GSK3B,hbd,0.00039,0.00028,False
GSK3B,hba,-0.00032,0.00038,False
GSK3B,rotatable_bonds,0.00287,0.0004,True
GSK3B,aromatic_rings,0.00031,0.00024,False
GSK3B,fraction_csp3,0.00056,0.00054,False
GSK3B,ring_count,0.0004,0.00025,False
GSK3B,heavy_atoms,0.00154,0.00092,False
GSK3B,formal_charge,0.0,0.0,False
GSK3B,qed,0.00079,0.00059,False
MAO_A,mw,0.00124,0.00061,True
MAO_A,clogp,0.00116,0.00082,False
MAO_A,tpsa,0.00135,0.00058,True
MAO_A,hbd,0.00065,0.00025,True
MAO_A,hba,-0.00084,0.00048,False
MAO_A,rotatable_bonds,0.00099,0.00089,False
MAO_A,aromatic_rings,0.0,0.00055,False
MAO_A,fraction_csp3,-0.00208,0.00268,False
MAO_A,ring_count,0.00056,0.00066,False
MAO_A,heavy_atoms,0.00049,0.00046,False
MAO_A,formal_charge,2e-05,5e-05,False
MAO_A,qed,0.00079,0.00078,False
MAO_B,mw,0.00229,0.00118,False
MAO_B,clogp,0.00248,0.00049,True
MAO_B,tpsa,0.00144,0.00076,False
MAO_B,hbd,0.00269,0.0011,True
MAO_B,hba,0.00027,0.00018,False
MAO_B,rotatable_bonds,1e-05,0.00072,False
MAO_B,aromatic_rings,0.00048,0.00048,False
MAO_B,fraction_csp3,0.00274,0.00085,True
MAO_B,ring_count,0.00057,0.00034,False
MAO_B,heavy_atoms,0.00101,0.00101,False
MAO_B,formal_charge,-6e-05,0.0,False
MAO_B,qed,0.0008,0.00072,False
hERG,mw,0.00147,0.00032,True
hERG,clogp,0.00982,0.00127,True
hERG,tpsa,0.0058,0.00165,True
hERG,hbd,0.00111,0.00063,False
hERG,hba,0.00088,0.00048,False
hERG,rotatable_bonds,0.00099,0.00025,True
hERG,aromatic_rings,0.00055,0.00015,True
hERG,fraction_csp3,0.00145,0.00025,True
hERG,ring_count,0.00032,0.00013,True
hERG,heavy_atoms,0.00063,0.00024,True
hERG,formal_charge,-2e-05,4e-05,False
hERG,qed,0.00318,0.00047,True
D2,mw,0.00832,0.00137,True
D2,clogp,0.02005,0.00185,True
D2,tpsa,0.0248,0.00191,True
D2,hbd,0.0068,0.00106,True
D2,hba,0.00444,0.00099,True
D2,rotatable_bonds,0.00376,0.00068,True
D2,aromatic_rings,0.0009,0.00048,False
