endpoint,task,model,split,metric,mean,sd
BBB,classification,RandomForest,random,roc_auc,0.9586,0.0068
BBB,classification,RandomForest,scaffold,roc_auc,0.9209,0.0253
BBB,classification,XGBoost,random,roc_auc,0.9544,0.0054
BBB,classification,XGBoost,scaffold,roc_auc,0.9162,0.0295
BBB,classification,HistGradientBoosting,random,roc_auc,0.9546,0.0058
BBB,classification,HistGradientBoosting,scaffold,roc_auc,0.9094,0.0293
AChE,classification,RandomForest,random,roc_auc,0.9599,0.0084
AChE,classification,RandomForest,scaffold,roc_auc,0.9139,0.0247
AChE,classification,XGBoost,random,roc_auc,0.9486,0.0081
AChE,classification,XGBoost,scaffold,roc_auc,0.9047,0.0261
AChE,classification,HistGradientBoosting,random,roc_auc,0.9544,0.009
AChE,classification,HistGradientBoosting,scaffold,roc_auc,0.91,0.0218
BChE,classification,RandomForest,random,roc_auc,0.9632,0.0089
BChE,classification,RandomForest,scaffold,roc_auc,0.9347,0.0109
BChE,classification,XGBoost,random,roc_auc,0.959,0.0115
BChE,classification,XGBoost,scaffold,roc_auc,0.9266,0.0104
BChE,classification,HistGradientBoosting,random,roc_auc,0.9607,0.0127
BChE,classification,HistGradientBoosting,scaffold,roc_auc,0.9248,0.0165
BACE1,classification,RandomForest,random,roc_auc,0.9653,0.0067
BACE1,classification,RandomForest,scaffold,roc_auc,0.9538,0.0099
BACE1,classification,XGBoost,random,roc_auc,0.9641,0.0068
BACE1,classification,XGBoost,scaffold,roc_auc,0.9506,0.0098
BACE1,classification,HistGradientBoosting,random,roc_auc,0.9658,0.0077
BACE1,classification,HistGradientBoosting,scaffold,roc_auc,0.9504,0.0143
GSK3B,classification,RandomForest,random,roc_auc,0.9676,0.0069
GSK3B,classification,RandomForest,scaffold,roc_auc,0.9207,0.0598
GSK3B,classification,XGBoost,random,roc_auc,0.9537,0.0109
GSK3B,classification,XGBoost,scaffold,roc_auc,0.9088,0.0579
GSK3B,classification,HistGradientBoosting,random,roc_auc,0.9535,0.0194
GSK3B,classification,HistGradientBoosting,scaffold,roc_auc,0.8824,0.0776
MAO_A,classification,RandomForest,random,roc_auc,0.9457,0.0128
MAO_A,classification,RandomForest,scaffold,roc_auc,0.87,0.0325
MAO_A,classification,XGBoost,random,roc_auc,0.9371,0.0152
MAO_A,classification,XGBoost,scaffold,roc_auc,0.8447,0.0286
MAO_A,classification,HistGradientBoosting,random,roc_auc,0.9407,0.0091
MAO_A,classification,HistGradientBoosting,scaffold,roc_auc,0.8326,0.0174
MAO_B,classification,RandomForest,random,roc_auc,0.9507,0.0036
MAO_B,classification,RandomForest,scaffold,roc_auc,0.879,0.0313
MAO_B,classification,XGBoost,random,roc_auc,0.9448,0.0041
MAO_B,classification,XGBoost,scaffold,roc_auc,0.8789,0.0337
MAO_B,classification,HistGradientBoosting,random,roc_auc,0.9472,0.005
MAO_B,classification,HistGradientBoosting,scaffold,roc_auc,0.88,0.0297
hERG,classification,RandomForest,random,roc_auc,0.9523,0.0035
hERG,classification,RandomForest,scaffold,roc_auc,0.9189,0.0218
hERG,classification,XGBoost,random,roc_auc,0.9482,0.0024
hERG,classification,XGBoost,scaffold,roc_auc,0.9124,0.0178
hERG,classification,HistGradientBoosting,random,roc_auc,0.9527,0.0044
hERG,classification,HistGradientBoosting,scaffold,roc_auc,0.9187,0.0151
D2,regression,RandomForest,random,r2,0.5856,0.0172
D2,regression,RandomForest,scaffold,r2,0.473,0.0297
D2,regression,XGBoost,random,r2,0.5921,0.0188
D2,regression,XGBoost,scaffold,r2,0.5038,0.0154
D2,regression,HistGradientBoosting,random,r2,0.5974,0.0239
D2,regression,HistGradientBoosting,scaffold,r2,0.5049,0.0215
A2A,regression,RandomForest,random,r2,0.6742,0.0173
A2A,regression,RandomForest,scaffold,r2,0.5775,0.0276
A2A,regression,XGBoost,random,r2,0.6712,0.0063
A2A,regression,XGBoost,scaffold,r2,0.5939,0.0301
A2A,regression,HistGradientBoosting,random,r2,0.6779,0.0114
A2A,regression,HistGradientBoosting,scaffold,r2,0.5833,0.0253
HT2A,regression,RandomForest,random,r2,0.6241,0.0197
HT2A,regression,RandomForest,scaffold,r2,0.4821,0.0659
HT2A,regression,XGBoost,random,r2,0.6245,0.0144
HT2A,regression,XGBoost,scaffold,r2,0.5013,0.0634
HT2A,regression,HistGradientBoosting,random,r2,0.6238,0.013
HT2A,regression,HistGradientBoosting,scaffold,r2,0.5041,0.0657
SERT,regression,RandomForest,random,r2,0.595,0.0229
SERT,regression,RandomForest,scaffold,r2,0.361,0.0574
SERT,regression,XGBoost,random,r2,0.6097,0.0195
SERT,regression,XGBoost,scaffold,r2,0.3854,0.0603
SERT,regression,HistGradientBoosting,random,r2,0.6182,0.0252
SERT,regression,HistGradientBoosting,scaffold,r2,0.4001,0.0655
antioxidant_DPPH,regression,RandomForest,random,r2,0.6544,0.0526
antioxidant_DPPH,regression,RandomForest,scaffold,r2,0.4093,0.0581
antioxidant_DPPH,regression,XGBoost,random,r2,0.6901,0.0393
antioxidant_DPPH,regression,XGBoost,scaffold,r2,0.4193,0.0605
antioxidant_DPPH,regression,HistGradientBoosting,random,r2,0.6855,0.0379
antioxidant_DPPH,regression,HistGradientBoosting,scaffold,r2,0.3996,0.081
