endpoint,task,split,n,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,f1_mean,f1_sd,balanced_acc_mean,balanced_acc_sd,r2_mean,r2_sd,rmse_mean,rmse_sd,mae_mean,mae_sd,spearman_mean,spearman_sd
BBB,classification,random,7805,0.9605,0.0075,0.977,0.0045,0.7572,0.0292,0.9136,0.0102,0.8733,0.0152,,,,,,,,
BBB,classification,scaffold,7805,0.9197,0.0367,0.9508,0.0231,0.6583,0.0943,0.8821,0.0354,0.8204,0.0512,,,,,,,,
AChE,classification,random,4387,0.9626,0.0083,0.9838,0.0054,0.7814,0.0389,0.9409,0.0106,0.8844,0.0184,,,,,,,,
AChE,classification,scaffold,4387,0.9212,0.0206,0.9671,0.0092,0.6562,0.0931,0.9059,0.0288,0.8182,0.0483,,,,,,,,
BChE,classification,random,2621,0.9684,0.0118,0.9868,0.0053,0.7814,0.0449,0.9326,0.0145,0.8977,0.0222,,,,,,,,
BChE,classification,scaffold,2621,0.9372,0.0212,0.9735,0.01,0.6909,0.0697,0.9039,0.0234,0.853,0.0358,,,,,,,,
BACE1,classification,random,8501,0.9667,0.0099,0.996,0.0013,0.7365,0.0501,0.9771,0.0038,0.8581,0.033,,,,,,,,
BACE1,classification,scaffold,8501,0.9556,0.0209,0.9947,0.0028,0.6718,0.0836,0.9729,0.0084,0.8094,0.0469,,,,,,,,
GSK3B,classification,random,4958,0.9693,0.0128,0.9976,0.001,0.6563,0.0771,0.9786,0.005,0.7884,0.0427,,,,,,,,
GSK3B,classification,scaffold,4958,0.9369,0.0302,0.9949,0.0028,0.5593,0.1144,0.9759,0.0056,0.7256,0.0669,,,,,,,,
MAO_A,classification,random,2228,0.9467,0.0169,0.9323,0.0227,0.7415,0.0656,0.8419,0.0393,0.8659,0.0327,,,,,,,,
MAO_A,classification,scaffold,2228,0.8678,0.0464,0.8363,0.0549,0.5638,0.0942,0.7225,0.0734,0.7732,0.0475,,,,,,,,
MAO_B,classification,random,3665,0.9545,0.0075,0.9779,0.0037,0.7403,0.0407,0.9181,0.0117,0.8636,0.0238,,,,,,,,
MAO_B,classification,scaffold,3665,0.8895,0.033,0.9344,0.0328,0.6262,0.048,0.88,0.0322,0.8045,0.0276,,,,,,,,
hERG,classification,random,5875,0.9541,0.0066,0.9417,0.0084,0.771,0.0266,0.8604,0.0171,0.88,0.014,,,,,,,,
hERG,classification,scaffold,5875,0.9208,0.0351,0.8997,0.0498,0.6755,0.0911,0.7945,0.0658,0.8286,0.0478,,,,,,,,
D2,regression,random,7734,,,,,,,,,,,0.6012,0.0177,0.595,0.0146,0.4253,0.0118,0.7772,0.0111
D2,regression,scaffold,7734,,,,,,,,,,,0.4829,0.0515,0.6728,0.0446,0.4849,0.0297,0.6919,0.0271
A2A,regression,random,6785,,,,,,,,,,,0.6824,0.0228,0.6121,0.0263,0.443,0.0207,0.8231,0.0194
A2A,regression,scaffold,6785,,,,,,,,,,,0.5762,0.0662,0.699,0.037,0.5191,0.034,0.7515,0.0469
HT2A,regression,random,5989,,,,,,,,,,,0.6362,0.0276,0.6089,0.0258,0.4437,0.0213,0.8096,0.0168
HT2A,regression,scaffold,5989,,,,,,,,,,,0.4902,0.0537,0.7187,0.0584,0.5286,0.0397,0.7116,0.0396
SERT,regression,random,4572,,,,,,,,,,,0.6016,0.0379,0.648,0.034,0.4822,0.0233,0.7703,0.0284
SERT,regression,scaffold,4572,,,,,,,,,,,0.3885,0.1239,0.793,0.114,0.6038,0.0801,0.6246,0.0814
antioxidant_DPPH,regression,random,2862,,,,,,,,,,,0.6689,0.0648,0.4523,0.0551,0.3037,0.0327,0.8071,0.0378
antioxidant_DPPH,regression,scaffold,2862,,,,,,,,,,,0.4337,0.0995,0.5867,0.0652,0.4177,0.0477,0.6502,0.1014
