endpoint,tanimoto_bin,n,AUROC
A2A,T[0.0-0.4),180,0.836
A2A,T[0.4-0.6),950,0.893
A2A,T[0.6-0.8),3399,0.965
A2A,T[0.8-1.0),1018,0.958
AChE,T[0.0-0.4),538,0.687
AChE,T[0.4-0.6),1044,0.827
AChE,T[0.6-0.8),1569,0.94
AChE,T[0.8-1.0),1173,0.974
BACE1,T[0.0-0.4),218,0.652
BACE1,T[0.4-0.6),1043,0.919
BACE1,T[0.6-0.8),5244,0.937
BACE1,T[0.8-1.0),1562,0.966
BBB,T[0.0-0.4),2587,0.846
BBB,T[0.4-0.6),2851,0.918
BBB,T[0.6-0.8),1953,0.968
BBB,T[0.8-1.0),414,0.951
BChE,T[0.0-0.4),250,0.6
BChE,T[0.4-0.6),485,0.842
BChE,T[0.6-0.8),986,0.949
BChE,T[0.8-1.0),859,0.986
D2,T[0.0-0.4),281,0.577
D2,T[0.4-0.6),1568,0.809
D2,T[0.6-0.8),3880,0.885
D2,T[0.8-1.0),1782,0.935
GSK3B,T[0.0-0.4),576,0.814
GSK3B,T[0.4-0.6),968,0.865
GSK3B,T[0.6-0.8),1954,0.95
GSK3B,T[0.8-1.0),546,0.986
HT2A,T[0.0-0.4),469,0.821
HT2A,T[0.4-0.6),1260,0.787
HT2A,T[0.6-0.8),2341,0.966
HT2A,T[0.8-1.0),1186,0.976
MAO_A,T[0.0-0.4),376,0.63
MAO_A,T[0.4-0.6),817,0.851
MAO_A,T[0.6-0.8),705,0.916
MAO_A,T[0.8-1.0),243,0.948
MAO_B,T[0.0-0.4),450,0.755
MAO_B,T[0.4-0.6),1345,0.831
MAO_B,T[0.6-0.8),1172,0.91
MAO_B,T[0.8-1.0),488,0.983
SERT,T[0.0-0.4),354,0.768
SERT,T[0.4-0.6),1318,0.927
SERT,T[0.6-0.8),2126,0.939
SERT,T[0.8-1.0),673,0.857
hERG,T[0.0-0.4),1222,0.748
hERG,T[0.4-0.6),1643,0.862
hERG,T[0.6-0.8),2539,0.946
hERG,T[0.8-1.0),501,0.975
